round,ul_tbsize,ul_tbsize_std
1,4847596.4,557818.9280393516
2,4777949.466666667,906760.5951323068
3,5311534.066666666,853939.8649424466
4,4949186.0,780762.3435565121
5,4902444.533333333,498641.544234772
6,4970808.8,578441.5165532788
7,4807918.133333334,995519.2450211862
8,4756401.866666666,780536.7479659537
9,5000904.133333334,692435.9072733083
10,4513952.066666666,1127691.1684999494
11,4891274.266666667,392221.3465226831
12,5056035.6,524992.4944796558
13,4888527.333333333,811789.89046363
14,5000460.2,518403.5771924088
15,4799153.466666667,949737.0243474068
16,4479335.733333333,1025968.5306375119
17,4808334.666666667,677825.1955439826
18,5203960.6,599410.3334251324
19,4890918.0,550627.9680964272
20,5074558.133333334,807967.6728129011
21,4800713.333333333,1017517.9115603297
22,5086103.333333333,693810.6682634956
23,5076849.533333333,735971.2147217314
24,4797458.6,628219.9661308131
25,5231150.4,691844.678411667
26,4705682.0,1051935.9019104457
27,4778565.8,670157.4157862571
28,4650024.2,644364.2913227623
29,4831628.4,1068424.4947633876
30,4690948.0,678655.9819593008
31,4920534.066666666,894645.2297897169
32,4532391.8,677620.5238631723
33,4624806.2,1038790.3159060406
34,4963649.133333334,817770.6749461234
35,4737546.466666667,792499.2056152726
36,5030694.733333333,493705.4740023892
37,4674772.733333333,808662.1520167445
38,4590394.0,675774.6749967773
39,4601425.733333333,478646.0770973038
40,4429557.8,1064055.2203501067
41,4836551.533333333,803548.0047676826
42,4422686.333333333,1024455.4016045841
43,4857112.0,878191.0179349203
44,5008346.466666667,616369.5551110859
45,4943792.6,434202.733163537
46,4777443.933333334,744974.7638288031
47,3910726.2,1091493.8448019759
48,4828720.6,737876.6382409924
49,4846290.2,762707.2964485692
50,4559973.466666667,985102.946113673
51,4181472.2,703017.766208975
52,4434342.866666666,746799.1249451475
53,4657629.733333333,781020.8923366598
54,4673475.2,881069.8637397117
55,4395937.066666666,831335.1521785789
56,4763339.133333334,694446.5598857292
57,4637695.266666667,620232.6112888692
58,4477034.133333334,788278.5476213221
59,3996126.0,842498.6943499845
60,4666527.866666666,883784.9315546877
61,4705430.866666666,764020.9240548012
62,4346939.0,993757.6368298115
63,4465635.6,672014.996655772
64,4699895.133333334,750625.983245305
65,4317433.0,1048562.7435196373
66,4537542.933333334,822154.4909961934
67,4647786.866666666,659918.4848903544
68,4351611.666666667,723192.7351496544
69,4655762.4,809185.7247355694
70,4591831.933333334,807155.253575567
71,4626647.533333333,808751.0515290904
72,4481452.866666666,811550.9487673996
73,4645995.466666667,957384.5179602503
74,4645378.133333334,824931.2482284177
75,4842530.0,859756.4079046709
76,4048062.3333333335,893392.4831610499
77,4585933.133333334,762740.0972418799
78,4676213.866666666,809426.3556870619
79,4272222.4,594354.8673768415
80,4390875.8,979734.0512058944
81,4446087.866666666,1212830.31876262
82,4357445.666666667,1033342.3248677542
83,4378159.8,883732.1732917081
84,4127466.533333333,578695.4737140457
85,4377245.066666666,955893.8902683458
86,4734822.133333334,907728.2502200493
87,4924596.333333333,760699.2972225966
88,4292495.266666667,985212.8822175922
89,4208521.333333333,871970.2191980171
90,4298706.666666667,1104533.5633745822
91,4131137.1333333333,917041.6078666743
92,4323679.533333333,829244.0078712716
93,4451559.466666667,1055005.5512604031
94,4395784.266666667,710139.2503951468
95,4521306.133333334,633372.0086547949
96,4328812.866666666,1071142.9261543062
97,4645808.8,896716.8607867097
98,4195687.866666666,808849.4774943222
99,4372835.4,754086.8181378436
100,4533911.0,529857.9081708066
