round,dest,start_min,start_mean,end_mean,end_max,dur_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes,start_std,end_std,dur_s_std,tx_kbit_s_std,rx_kbit_s_std,throughput_kbit_s_std,mean_delay_ms_std,mean_jitter_ms_std,packet_loss_pct_std,delivery_ratio_pct_std,tx_pkts_std,rx_pkts_std,tx_bytes_std,rx_bytes_std
1,1.0.0.2,1.0,1.0,6.0,6.0,5.0,4448.612586666667,4289.207146666667,4289.207146666667,23.20325929095965,1.944595572744076,14.098327826174026,85.90167217382597,4661.0,4004.0,2780383.0,2680754.0,0.0,0.0,0.0,1131.167773273639,1160.0236271442639,1160.0236271442639,4.518328362695971,0.3774261987815189,13.61429182075369,13.614291820753692,477.0,933.0,706980.0,725015.0
1,5.0.0.2,1.0,1.0,6.0,6.0,5.0,131693.66176,5721.997333333333,5721.997333333333,9.866848293749632,1.6519758350624645,95.65530810084927,4.344691899150727,78240.0,3399.0,82308539.0,3576248.0,0.0,0.0,0.0,104015.95914748005,816.3480207514674,816.3480207514674,1.7691982611117818,0.6118532317388433,12.287009768928206,12.287009768928204,61797.0,485.0,65009974.0,510218.0
2,1.0.0.2,6.0,6.0,11.0,11.0,5.0,4201.30592,4040.100266666667,4040.100266666667,24.656187425280045,1.997546170487082,14.397718151588121,85.60228184841188,4651.0,3982.0,2625816.0,2525063.0,0.0,0.0,0.0,1660.3963561002877,1699.2708298580214,1699.2708298580214,5.8257082122343915,0.6131905225155205,18.75830275764137,18.75830275764137,643.0,1227.0,1037748.0,1062044.0
2,5.0.0.2,6.0,6.0,11.0,11.0,5.0,52584.061546666664,5246.77248,5246.77248,9.15441376761693,1.4607592045167774,90.02170262074617,9.978297379253831,31240.0,3117.0,32865038.0,3279233.0,0.0,0.0,0.0,33991.18883626707,867.3391481578614,867.3391481578614,1.7957144426640839,0.4900796571983939,14.153286357939471,14.153286357939473,20194.0,515.0,21244493.0,542087.0
3,1.0.0.2,11.0,11.0,15.945073333333333,16.0,4.945071333333333,4376.018950586085,4162.695165705059,4162.695165705059,23.498528642164953,2.0555546248753944,13.147212444646303,86.8527875553537,4697.0,4080.0,2704966.0,2573103.0,0.0,0.21273006526268604,0.21273781122937843,1684.9360953180096,1693.68695751012,1693.68695751012,6.395049073939561,0.5629460969273296,9.602174036394421,9.602174036394421,739.0,914.0,923195.0,920629.0
3,5.0.0.2,11.0,11.0,15.945073333333333,16.0,4.945071333333333,27982.791215549707,4791.328955551298,4791.328955551298,9.015931093798102,1.3926669030524048,82.87758991201395,17.12241008798605,16442.0,2815.0,17297112.0,2961683.0,0.0,0.21273006526268604,0.21273781122937843,23314.869378568117,1068.768161062779,1068.768161062779,1.762398878367075,0.5478133220584754,28.907926488041674,28.907926488041674,12250.0,577.0,12886723.0,607060.0
4,1.0.0.2,15.1761,15.945073333333333,20.945073333333333,21.0,5.0,4473.5554133333335,4318.291413333333,4318.291413333333,21.874954910241122,1.942850456081081,12.76005547850208,87.23994452149792,4614.0,4026.0,2795972.0,2698932.0,0.21273006526268604,0.2127300652626856,0.0,1124.0062327248634,1188.3194657583851,1188.3194657583851,5.323923374148949,0.4315962196555391,12.904712915530768,12.904712915530766,529.0,891.0,702504.0,742700.0
4,5.0.0.2,15.1761,15.945073333333333,20.945073333333333,21.0,5.0,22632.90784,4632.83264,4632.83264,8.585084608584024,1.3377879452841157,79.5304791888743,20.469520811125708,13446.0,2752.0,14145567.0,2895520.0,0.21273006526268604,0.2127300652626856,0.0,20944.56283562625,1091.7101002158906,1091.7101002158906,1.4340486882682224,0.5791357162241811,27.759697070780074,27.759697070780078,12443.0,649.0,13090352.0,682319.0
5,1.0.0.2,20.1761,20.945073333333333,25.945073333333333,26.0,5.0,4667.341333333333,4496.354986666667,4496.354986666667,22.51560126220182,2.046786175738574,10.107070736420031,89.89292926357997,4589.0,4125.0,2917088.0,2810222.0,0.2127300652626856,0.2127300652626856,0.0,975.5055095241256,993.8470751339089,993.8470751339089,4.880734028294554,0.4072553164434181,8.498889186273708,8.498889186273708,635.0,774.0,609691.0,621154.0
5,5.0.0.2,20.1761,20.945073333333333,25.945073333333333,26.0,5.0,15514.906026666667,4370.028693333334,4370.028693333334,8.317526192738292,1.2442065856357847,71.83318626954622,28.166813730453775,9217.0,2596.0,9696816.0,2731268.0,0.2127300652626856,0.2127300652626856,0.0,9620.788662962515,1024.4035058635325,1024.4035058635325,1.5273564390553405,0.6522797945455616,27.553394467006925,27.553394467006925,5716.0,609.0,6012993.0,640252.0
