round,ul_numsym,ul_numsym_std
1,59874.333333333336,21634.256026254378
2,59167.86666666667,25279.4901730538
3,60247.86666666667,25375.302075236934
4,58563.13333333333,17138.380382165917
5,60507.0,20414.600989767805
6,61719.0,22514.425670794142
7,60020.933333333334,15305.121787290995
8,53520.0,17326.8110370687
9,61093.26666666667,17455.4230192497
10,68238.86666666667,18789.454127502584
11,55277.666666666664,20447.70562283444
12,63042.46666666667,17922.18410983066
13,56676.8,21363.564239811938
14,55875.13333333333,20200.463307510923
15,54119.4,21167.281642059894
16,55211.8,16553.38582198302
17,56074.13333333333,20078.38933447269
18,49252.933333333334,13244.269269961183
19,54691.6,20798.00983542141
20,53235.666666666664,17719.60135663597
21,52074.26666666667,19304.800662998186
22,54042.0,18973.742567031946
23,53181.066666666666,17199.0870956516
24,48822.86666666667,15121.998095804795
25,50843.73333333333,20482.68304992804
26,46872.6,16874.06958196934
27,48094.2,17072.153279536826
28,52753.53333333333,18407.756470212953
29,47338.2,17876.037932702777
30,55956.4,25384.49155291474
31,56243.86666666667,18742.97416887827
32,50961.46666666667,20135.54186317839
33,51039.8,21652.590465939968
34,47166.4,17297.89521382794
35,54664.0,19836.901385333058
36,42923.6,14091.032446204925
37,43908.0,9250.30739257582
38,53967.333333333336,19801.80870045774
39,55091.666666666664,21483.835390712666
40,46197.46666666667,21437.570477574
41,52704.53333333333,17342.064957234834
42,51061.0,19008.6968667352
43,51372.333333333336,30153.862642091066
44,47332.53333333333,19706.097993357525
45,44101.666666666664,14600.395844275037
46,45598.86666666667,15190.389127276998
47,50501.26666666667,21476.43849985596
48,55757.0,19592.340394727147
49,45016.26666666667,18315.604422251014
50,46522.066666666666,16534.59325374128
51,45023.53333333333,22921.297538274208
52,50451.46666666667,16497.95607629133
53,41221.8,12469.853838071123
54,55592.933333333334,17646.921303593954
55,49225.2,10577.798908225526
56,46878.46666666667,18607.97994281972
57,43835.2,17421.335680300584
58,48261.666666666664,19165.21502867208
59,53030.666666666664,22964.540512546315
60,43870.13333333333,18251.617610763267
61,50984.46666666667,16907.779459960635
62,44321.6,14028.473839200858
63,44409.2,19001.665476628998
64,45373.933333333334,20170.968350813597
65,53873.2,19185.860311326
66,46503.666666666664,18839.053849712862
67,38992.53333333333,17803.787453663845
68,46658.8,19902.74141634047
69,47187.0,19680.019788027217
70,46629.53333333333,26030.932129917685
71,41811.8,15081.451612588791
72,39433.86666666667,17405.10479660931
73,47669.666666666664,25215.007231144446
74,41371.2,19087.978543725218
75,46078.6,25329.760922677495
76,41403.73333333333,16054.267877005997
77,39943.53333333333,15097.409942799868
78,42167.13333333333,19440.794839227954
79,40921.26666666667,26643.029124403434
80,36239.6,16290.210797548674
81,39775.46666666667,19693.541468013846
82,41537.0,21794.3947053234
83,39482.933333333334,16549.578421331753
84,40623.8,16415.14921911203
85,44475.4,20321.702880699457
86,42815.0,16684.331721708244
87,40563.6,10886.094641461515
88,40094.13333333333,24695.20523406074
89,46107.26666666667,21197.442576427762
90,45722.4,15477.561047252522
91,46896.333333333336,24955.409864873178
92,52878.4,17602.407691644265
93,42238.933333333334,15310.800671732482
94,53207.4,23867.214649269103
95,40621.13333333333,18471.391241850837
96,50135.26666666667,15160.161714491169
97,41507.46666666667,18363.032397675914
98,41124.933333333334,17242.713701182663
99,48235.73333333333,18067.748984098183
100,45214.73333333333,15696.652315822299
