round,ul_rbg,ul_rbg_std
1,53845.333333333336,8267.095842353992
2,47371.4,8629.306178035737
3,43195.333333333336,10255.829970360877
4,41364.13333333333,10088.069706813283
5,39123.333333333336,10757.841881733575
6,38201.46666666667,10794.756470929147
7,36107.53333333333,11421.407780796468
8,34997.26666666667,12424.014640242194
9,34198.6,11642.190949915126
10,34149.8,11690.21396724628
11,32804.4,11866.292373176817
12,32957.6,12221.499065171998
13,32464.133333333335,11077.003577983834
14,33245.73333333333,12022.75849299787
15,32621.733333333334,11615.333679892201
16,32576.133333333335,11431.290177570052
17,32371.866666666665,11120.220673983733
18,31186.8,11098.64620573158
19,31325.0,11472.24404502325
20,30300.333333333332,10775.375006180042
21,30545.133333333335,10488.940174343277
22,30242.0,10985.541926940674
23,29753.2,11092.106615581575
24,30099.4,10948.942537328174
25,30009.2,11019.812256632533
26,28838.466666666667,10728.176738095319
27,29244.133333333335,10459.134427903315
28,29051.4,10801.5292356486
29,29173.4,11018.127257258506
30,28614.333333333332,11289.547464463796
31,29323.066666666666,10923.52285840494
32,28102.2,10188.725086374363
33,28217.666666666668,10696.147394984706
34,27685.4,9639.554174634546
35,27506.466666666667,9518.414610387494
36,26476.2,10592.480818283992
37,26792.266666666666,10706.556018671568
38,25252.866666666665,11493.62918481779
39,26037.8,11535.398037593426
40,25471.933333333334,11029.852844936435
41,25825.933333333334,11310.222086152651
42,25882.8,11515.057590576163
43,25495.866666666665,11757.178250308352
44,25639.8,11293.073902681617
45,25292.6,10650.877668731611
46,25173.933333333334,10932.191601390994
47,24886.0,11212.615153095578
48,25188.0,11228.092981446136
49,24625.333333333332,11112.08039970571
50,24048.466666666667,11814.498815720737
51,23690.8,11034.104690199641
52,24534.866666666665,10964.091388754126
53,24374.266666666666,11599.005071043604
54,24406.8,11459.905591732795
55,24449.266666666666,11776.452415529819
56,24566.8,11922.927613875472
57,24361.0,11588.912946679438
58,24383.733333333334,11841.42361414048
59,23356.466666666667,12131.93701921071
60,25003.5,11158.316089873886
61,25251.428571428572,11393.51334153501
62,25177.64285714286,11231.497993158779
63,24549.928571428572,11260.468513714324
64,24885.785714285714,10612.941549597117
65,25075.285714285714,10736.677393428074
66,25098.0,11308.62916265546
67,24676.14285714286,10980.789188796549
68,24261.714285714286,10962.443021015479
69,24831.85714285714,10726.657489688896
70,25179.071428571428,11843.863379984434
71,24619.428571428572,10758.67826965237
72,24968.571428571428,10954.526550976267
73,24472.714285714286,10186.360650237322
74,24248.714285714286,10550.8536762057
75,23774.714285714286,10580.8422554712
76,23637.35714285714,10289.63154462665
77,23913.35714285714,10150.84954085612
78,24568.285714285714,10926.472303035916
79,24060.85714285714,10417.506809782662
80,23512.85714285714,10118.041668662529
81,23614.428571428572,9900.31763837198
82,23385.571428571428,9229.456461321466
83,22688.5,8413.224962476088
84,22505.14285714286,8662.655667218409
85,21699.071428571428,9734.498418308154
86,21796.071428571428,9292.513756652848
87,21644.285714285714,9032.883809287481
88,21651.428571428572,8979.747749706094
89,21886.35714285714,9109.510183633052
90,21811.928571428572,9296.733359000442
91,21280.14285714286,8526.52163597743
92,21736.35714285714,9090.626970060492
93,21355.785714285714,9318.619352825672
94,21238.64285714286,9042.714046356648
95,21687.785714285714,9267.326792210706
96,21893.571428571428,9072.583159542444
97,21501.5,8876.855990114449
98,21748.571428571428,8994.073678854278
99,20955.35714285714,9123.964334121963
100,21966.714285714286,9422.692579647786
