round,ul_tbsize,ul_tbsize_std
1,3466790.8,833101.3212597511
2,3241200.1333333333,1333622.0153959275
3,3560966.3333333335,1017006.6066891508
4,3556618.466666667,775395.2831186783
5,3946390.066666667,836621.7223881041
6,3902053.8,759760.2554674919
7,4068079.4,817904.372308087
8,4071900.533333333,898763.6372945787
9,4173572.0,1322221.66033212
10,4435290.8,929402.3591447049
11,3848020.7333333334,1159401.6623281823
12,4251528.4,648821.2469616177
13,3939375.2666666666,1050694.675942776
14,3921879.0,915163.3597297573
15,3894786.1333333333,1156174.1635299877
16,4094338.1333333333,632273.3034874878
17,4063951.2,1016884.4685567917
18,3702700.2,977707.1183663921
19,3958483.6666666665,1130441.3627658677
20,3891698.466666667,866348.3089832426
21,3923226.0,1326649.2425611764
22,4006097.3333333335,1059221.2868291948
23,3771633.066666667,731524.0457680962
24,3796147.6666666665,883010.2849712992
25,3853244.533333333,1109690.8489952034
26,3739208.466666667,1108074.770981174
27,3937853.2666666666,1157241.143827142
28,4306027.533333333,1136608.8384507706
29,3657582.933333333,740332.3391673949
30,3976080.466666667,1424006.128797047
31,4161284.933333333,1055432.9583814994
32,3864935.2666666666,1098021.8424712343
33,3840727.3333333335,1292830.3192784132
34,3745468.2,1127304.7021071482
35,3997044.6666666665,1133532.08265074
36,3257575.3333333335,640237.2289122511
37,3750153.2,910472.7135006142
38,4155393.2666666666,1149561.9741350221
39,4156780.1333333333,1304593.1021856621
40,3546412.8666666667,1373189.132619958
41,4143999.533333333,982210.1857526558
42,4268889.933333334,934381.8824104649
43,3705781.6,1265987.5062810963
44,3622382.6666666665,1080266.1772129303
45,3663230.2,845230.4197968909
46,3580141.6666666665,1025847.2395610837
47,3711260.466666667,1232610.5535268786
48,4263080.4,1079530.4124072252
49,3951902.4,1389198.946936882
50,3635791.0,829262.5013212471
51,3580421.533333333,993811.3830508329
52,4003918.2,906855.1082588505
53,3639417.8,976705.454204315
54,4331157.333333333,1034313.7833503544
55,3953034.933333333,745521.3240525497
56,3821045.933333333,1227643.7592256886
57,3921157.3333333335,1084684.100370088
58,4013717.1333333333,1203623.902316362
59,3938399.2666666666,974777.3538713097
60,3557186.933333333,996555.0038565334
61,4031721.8666666667,1101653.5402494397
62,3748480.8,965434.963951793
63,3612199.8666666667,1224580.437414608
64,3531462.8,1084093.5761032412
65,4111541.3333333335,1007164.6365516604
66,3727443.2,1185364.7398061673
67,3273706.8,1207744.1493396568
68,3731606.933333333,1159459.9791503595
69,3938718.6,1061799.369795497
70,3495767.3333333335,1240484.019657688
71,3644295.6,1109784.0513949292
72,3341815.8666666667,1211678.2289603755
73,3920300.8,1216666.0940667915
74,3648831.0,1205631.890514383
75,3555375.466666667,1616429.296602363
76,3700507.4,865583.812389798
77,3497006.6,1061518.4465720253
78,3458381.8666666667,1075799.6115501295
79,3464864.933333333,1454792.0175678262
80,3167756.933333333,1010043.6560705446
81,3344644.1333333333,1046930.3814168124
82,3461876.1333333333,1064553.7001910282
83,3418162.933333333,989509.1806274077
84,3604199.3333333335,856346.7914588997
85,3613247.3333333335,1288185.7632727213
86,3564986.2,983271.9403456867
87,3503006.466666667,651966.0065254134
88,3215759.1333333333,1140933.6745645064
89,3682135.533333333,1169895.856627654
90,3709398.3333333335,1131341.5281317048
91,3702359.1333333333,1268982.3486187588
92,4177379.0,883924.1511383848
93,3585922.1333333333,832129.2626300716
94,3849073.6666666665,1053026.0637729226
95,3451879.4,990787.1901722386
96,4119421.066666667,936114.3950373088
97,3484996.466666667,1102031.5882946672
98,3516534.3333333335,1284997.97247926
99,3846215.2666666666,1023651.7257984816
100,3778940.6,1038046.6871295751
