round,sched_cfg_cnt_mean,sched_cfg_cnt_std
1,5427.066666666667,1950.5197280529642
2,6133.866666666667,2024.804042252931
3,5886.2,2264.687118093169
4,6313.866666666667,1752.7455958608266
5,6123.0,1260.4750805039457
6,6858.533333333334,2010.4427681009784
7,6723.466666666666,1755.29651002195
8,5173.533333333334,1402.89607937431
9,6572.0,1986.4274464475163
10,6026.8,2194.2035717511976
11,5458.133333333333,1560.3896430363916
12,5682.266666666666,1809.912723494331
13,5740.333333333333,1907.7275436897119
14,5505.8,1129.6525508820337
15,5627.0,1363.1639142608115
16,5171.333333333333,1305.4349940956554
17,5280.666666666667,1308.379077149971
18,4988.066666666667,1354.3733641517797
19,4641.466666666666,1454.733007740432
20,4641.2,1713.0446245542716
21,5024.8,1296.9203191737395
22,5239.733333333334,1645.0096164142137
23,5012.333333333333,1415.4905594208403
24,4500.466666666666,1414.6253348838477
25,4787.266666666666,1382.9505965076817
26,4776.066666666667,1967.0321904064608
27,4222.533333333334,1295.2721648180282
28,5024.6,1458.1161427383918
29,5057.6,1255.063902755553
30,4824.266666666666,1644.4609827568195
31,5074.133333333333,1301.371741480431
32,5166.266666666666,1086.2657177338376
33,5248.2,1486.9847342861326
34,4186.933333333333,1148.6238018146926
35,4381.866666666667,1471.3264116176974
36,3861.733333333333,1623.0836377827532
37,3682.0666666666666,1146.1399482403451
38,4801.533333333334,1303.8264491579428
39,4644.6,1459.683126082996
40,4619.066666666667,2112.9847699629163
41,4484.666666666667,1323.4686928493552
42,4234.866666666667,1725.7202581889712
43,4088.133333333333,1238.7324089376125
44,4375.866666666667,1582.5808427405925
45,3238.3333333333335,1036.4569225881762
46,3670.133333333333,1003.1577903704642
47,4093.9333333333334,1460.729292739304
48,4363.8,1800.6848776427896
49,4455.333333333333,1183.7983459227858
50,4896.6,1208.115521912418
51,4359.333333333333,1593.1098817213128
52,3664.5333333333333,1536.8918015019176
53,3543.6666666666665,1458.833372775592
54,4511.933333333333,1187.0789158185535
55,3904.5333333333333,1274.093451756787
56,3934.133333333333,1488.4275435441766
57,3738.6666666666665,1361.1754724012135
58,4004.266666666667,1525.7948030296805
59,4147.8,1612.481592364479
60,4340.4,1382.3688674569771
61,4181.4,1283.59605350415
62,4138.666666666667,1223.0420309718754
63,3988.0666666666666,1632.8136306330105
64,4190.066666666667,1234.169441172406
65,3941.4666666666667,1191.135764522168
66,4266.0,1472.774058900899
67,3409.9333333333334,842.5780562964959
68,4227.866666666667,1862.978293971651
69,3416.3333333333335,1366.5915716883094
70,4145.666666666667,1556.722916287686
71,3700.5333333333333,1624.8390630928286
72,3624.6666666666665,1404.4000583201084
73,3528.4666666666667,1361.7191794968314
74,3484.2,970.3641584477448
75,3750.2,1688.640036072985
76,3655.0666666666666,1354.8185153458044
77,3567.4,1334.323092165355
78,3319.133333333333,1064.6319864942375
79,3603.733333333333,1676.4968777043339
80,3817.866666666667,1412.9924611398658
81,4097.533333333334,1322.189572892884
82,3920.3333333333335,1410.8987341745112
83,3180.4,1570.5297923221415
84,3301.6,1439.8267653734301
85,3269.4,1242.6821683071546
86,3485.8,1389.8980024242273
87,3418.266666666667,1166.5228836569122
88,2906.6666666666665,1359.899558615933
89,3399.866666666667,1713.414671962172
90,3355.133333333333,1366.1811146752243
91,3815.266666666667,1483.0053687729937
92,4121.733333333334,1773.0630665870963
93,3868.4666666666667,1487.4877126343247
94,3428.9333333333334,1160.0010755331632
95,3451.0,1412.7004029770178
96,3773.4666666666667,1297.6887623037828
97,3516.0666666666666,1761.8163706270652
98,3805.5333333333333,1254.073925063355
99,3981.733333333333,1876.274556008211
100,4006.6,1385.8459922681577
