round,ndi0,ndi1,ndi0_std,ndi1_std
1,347.4,5698.4,121.90089651609856,1599.44815483341
2,382.8,5996.4,171.2484410773674,2078.8012273560794
3,466.1333333333333,6133.4,172.77891185255328,2608.9165184037606
4,442.73333333333335,6200.733333333334,156.97336747116722,1929.936692768765
5,434.6666666666667,5863.266666666666,97.14765394319447,1386.243869839166
6,426.6,6794.266666666666,139.26583008251316,2517.72324777386
7,440.1333333333333,6563.733333333334,192.3864662104702,2084.8940523498572
8,505.06666666666666,5635.8,155.89944866880734,1905.741782838678
9,416.46666666666664,6388.333333333333,178.6572403341368,1854.1770861130462
10,474.3333333333333,6151.133333333333,204.21055893599717,1294.4882533631728
11,457.26666666666665,6386.533333333334,201.33180384155713,2017.392477809861
12,381.8,6229.866666666667,123.51529691268435,2461.505197657571
13,400.8,5540.733333333334,143.12342326018577,1603.106736784488
14,448.6,5031.466666666666,153.19865721157143,1268.8272913356234
15,414.4,5873.266666666666,151.05051189207254,1762.852050621649
16,444.8,5721.533333333334,153.43737670929,1229.291542002179
17,417.26666666666665,5958.666666666667,206.94597868825113,1912.2864275396564
18,358.6,5747.0,163.2958751994148,1935.5357693118756
19,407.06666666666666,4954.2,160.86483530621365,2055.5416109351117
20,431.53333333333336,5277.866666666667,167.51326884188978,1715.1029068112448
21,450.2,5585.666666666667,194.96856889545776,2033.2754597540627
22,406.6666666666667,6175.866666666667,150.60386385987516,2268.7160581220714
23,335.8666666666667,5698.866666666667,138.38758546027103,1683.2053973071168
24,411.1333333333333,4769.0,147.4676074197152,1646.1816858588675
25,353.8666666666667,4896.733333333334,144.33931583334493,1967.570418658746
26,388.26666666666665,5265.533333333334,155.3872888102805,1957.6311438159373
27,374.06666666666666,5026.133333333333,179.2366618534862,2200.496952530323
28,362.3333333333333,5545.8,194.4228332661524,2161.718998522109
29,310.0,5157.8,85.97591024733116,1720.415863347331
30,289.1333333333333,6179.8,185.4576835317221,2403.452166007411
31,395.26666666666665,5830.4,198.76600265016103,1750.3515075549824
32,371.6666666666667,5703.466666666666,167.3015526640728,1535.3618403986666
33,344.0,5397.8,196.30078960615518,2354.9835061600147
34,392.3333333333333,5040.2,196.29448237157305,1622.8754991416579
35,269.2,5338.066666666667,166.93506008539453,2142.380133892031
36,308.06666666666666,4790.733333333334,155.23966110808274,2202.167032287796
37,393.8666666666667,4815.066666666667,161.55223244982972,1470.65522164523
38,346.1333333333333,5175.733333333334,154.05095013694412,2338.8686662776167
39,338.3333333333333,5345.066666666667,166.97847024035622,1610.0995296061965
40,267.06666666666666,5257.933333333333,162.5025128010846,2428.3675135679896
41,251.0,5080.066666666667,164.90516755309486,2196.417292731398
42,321.06666666666666,4743.133333333333,193.18661099223897,1655.8963850722175
43,247.73333333333332,4949.2,130.01234373631425,2366.9424581091957
44,414.6,5160.8,227.92411017704995,2312.211285451965
45,324.0,4525.2,162.80268513054165,2098.7854719200955
46,312.06666666666666,4083.133333333333,195.5188944711945,1333.9987613330438
47,223.06666666666666,4790.266666666666,186.29717683109988,2594.425768193545
48,309.8666666666667,5475.866666666667,172.2692521551517,1763.139523960705
49,267.93333333333334,4393.266666666666,100.34616276147474,1522.6317192220029
50,258.3333333333333,5397.733333333334,203.2094860927886,1836.1479269176025
51,307.8,5211.133333333333,182.19698915498813,2054.6171998927775
52,299.8666666666667,4956.266666666666,129.82618416651587,1790.3118430145335
53,293.1333333333333,3822.733333333333,126.27230590313633,1558.4006209053225
54,274.46666666666664,5962.733333333334,139.0266504085081,1822.0786977933697
55,298.93333333333334,5122.666666666667,168.75530326763771,1504.6006905804736
56,315.26666666666665,4752.6,156.20200596236486,1990.9840639385195
57,279.6,3869.866666666667,224.45865034407944,2170.096899306792
58,293.46666666666664,5011.933333333333,138.90843164096404,1984.581584784729
59,234.4,5696.2,137.27386599682507,2583.1123862503546
60,352.6,5489.333333333333,157.7288813122061,1256.5945286860872
61,296.0,5796.866666666667,196.93581260328017,2011.5457051256685
62,259.73333333333335,4220.266666666666,136.59976295036253,940.1831483178969
63,252.46666666666667,4725.466666666666,126.31076566868529,2404.5151832888614
64,280.06666666666666,4801.533333333334,166.35180735274207,1502.5234900311002
65,292.8,5516.6,190.24578088056816,1593.055366269484
66,244.2,4950.4,142.5824072497826,2454.3518434463654
67,226.26666666666668,4044.9333333333334,157.27658379276875,1669.8533069304822
68,182.2,5292.066666666667,120.70578161084794,2592.7558550333124
69,212.53333333333333,4937.733333333334,128.4116520451021,2054.473601911784
70,373.4,4996.6,192.20851772414846,2505.0965707076903
71,310.46666666666664,4928.6,154.5093000745386,2197.256594678269
72,354.93333333333334,4659.133333333333,189.03796544861663,1807.726467403844
73,307.6,5157.6,134.90568133752876,2215.8330519887354
74,260.4,4512.333333333333,166.31931422932902,1883.5670061525993
75,284.06666666666666,4569.066666666667,172.0255241305224,2910.2823737977897
