round,ul_rbg,ul_rbg_std
1,32789.86666666667,10666.269543797982
2,40185.666666666664,11112.629486095453
3,36110.53333333333,13566.938910805333
4,41698.46666666667,11637.432533894767
5,41222.933333333334,6672.9527140396785
6,44185.933333333334,13725.694270583323
7,44475.13333333333,11475.17502429027
8,42285.4,9886.443205579186
9,44743.2,11210.109341890598
10,44569.0,10199.70153624955
11,44549.26666666667,10748.059994161516
12,44666.2,10871.10951887748
13,44248.333333333336,7406.190775933592
14,37933.933333333334,8912.434848222429
15,46357.8,7789.576104366289
16,42886.86666666667,6285.082927815974
17,44036.73333333333,8201.671175234147
18,41320.46666666667,9627.74841551133
19,38078.6,11548.012610711112
20,40711.0,8471.085332723647
21,41658.0,12500.60483108146
22,44340.6,9873.003391644743
23,45283.86666666667,10849.738336980869
24,38773.53333333333,9478.263613331797
25,39489.2,10372.656129045663
26,40597.2,13492.00180636132
27,39709.6,13041.913262357528
28,41594.6,9032.247472251853
29,41241.333333333336,10453.532497039776
30,42595.13333333333,13893.647458289637
31,45165.6,10319.980937136326
32,45257.4,8740.527213585492
33,38800.46666666667,11621.346749265624
34,38283.73333333333,9829.566524860933
35,41400.8,11186.856792044595
36,39872.26666666667,13147.764103596077
37,38968.0,8419.892669828314
38,41416.13333333333,11198.926950297302
39,40360.933333333334,10648.134628500273
40,39024.933333333334,14494.957879338925
41,39888.26666666667,9765.516652755146
42,39606.26666666667,12183.169159990859
43,40736.73333333333,10185.650245507624
44,40545.46666666667,12862.309067674474
45,40409.53333333333,9264.6847981744
46,36174.26666666667,7899.981053021282
47,39445.0,16359.190671563536
48,44367.4,10901.007442302884
49,38505.0,10028.4282916118
50,43054.933333333334,9572.65756104084
51,41224.0,9948.229533798607
52,39153.73333333333,10437.423460569093
53,36535.333333333336,11015.108135560688
54,47884.2,8108.143809070694
55,41947.0,7682.60630998919
56,42025.333333333336,11604.980578962432
57,35089.73333333333,12761.31347061258
58,41841.8,11877.779519518188
59,43025.0,11754.063558738193
60,43411.73333333333,9151.767576864722
61,45150.53333333333,8395.54760288934
62,40199.26666666667,5989.678270237257
63,39839.933333333334,15711.137639388482
64,40930.333333333336,9645.627608008768
65,43148.0,9142.366144182026
66,40227.0,13861.950589396038
67,37452.13333333333,10837.892592109189
68,40168.2,11601.13435463471
69,40692.8,9463.057760123234
70,42908.6,17032.14084270425
71,44003.066666666666,15254.270949787271
72,39278.0,9830.745016092553
73,43756.53333333333,12930.819015419085
74,40564.333333333336,12150.884257456131
75,39825.2,16566.647657266087
76,39787.13333333333,8971.69128717551
77,42020.8,10314.762404299134
78,40115.066666666666,9993.880659588409
79,37880.333333333336,12903.48880102181
80,35935.53333333333,8149.667923705029
81,39869.6,11174.02935254014
82,38132.2,10337.120690570879
83,40080.13333333333,11341.055411120044
84,36508.6,14853.828432908658
85,41653.0,9689.457393034378
86,41352.13333333333,9368.079341699715
87,39313.6,9982.378680168655
88,35276.933333333334,11653.91844872461
89,38436.6,15784.763090669796
90,36724.0,8973.029493193158
91,42643.666666666664,15061.608430835317
92,46734.333333333336,12962.85817064975
93,37261.066666666666,12612.38516281667
94,42819.86666666667,9224.732306349575
95,38632.4,11435.892961573723
96,39822.53333333333,12411.823342895195
97,41332.2,15290.293485924796
98,38796.13333333333,11900.365965961279
99,40134.6,12509.400418428193
100,43592.2,8255.721930879212
