round,ul_rbg,ul_rbg_std
1,55506.666666666664,9440.555035640245
2,46318.6,10755.45235682814
3,44437.0,10510.23836891574
4,38983.13333333333,8541.545585018697
5,37025.46666666667,8169.4013844927695
6,36481.066666666666,8356.257334362988
7,34550.73333333333,8503.141944235056
8,33780.2,8621.678973047286
9,33758.73333333333,8397.568427541279
10,33812.86666666667,8468.727589251668
11,32720.0,8470.2317391135
12,32291.866666666665,8223.545497678051
13,32125.333333333332,7547.580025285935
14,31879.4,8807.813712834757
15,31133.533333333333,9024.007542317853
16,31242.4,8723.611160850436
17,31673.4,9216.355615348804
18,31102.6,8608.213999265055
19,31156.933333333334,9216.613558961777
20,30981.266666666666,9122.259435552345
21,30763.6,8960.304106765254
22,30398.266666666666,9962.400180296963
23,29818.066666666666,9680.388794336921
24,30013.4,10013.09424703473
25,29742.533333333333,9765.471847766692
26,29509.4,9547.657422485521
27,29501.133333333335,9792.857155430516
28,29805.466666666667,9904.346375395477
29,29285.6,9743.17071301007
30,29737.6,9801.381329763095
31,29994.8,10111.86652403996
32,29556.2,9792.508552095174
33,29162.2,10140.410834168126
34,29423.866666666665,9764.667998647448
35,29025.533333333333,9711.34471243862
36,27961.133333333335,9158.845980539147
37,27890.266666666666,9327.548265117433
38,26481.6,8968.211302786558
39,26278.4,9144.178536877203
40,26064.533333333333,9000.728810702472
41,26118.2,8642.233600175363
42,26140.133333333335,9366.17872123393
43,25532.466666666667,9609.46582331837
44,25378.533333333333,8583.154963287656
45,25050.266666666666,9245.003858970582
46,24874.533333333333,9148.074769094992
47,24510.533333333333,9114.813922296782
48,25281.6,9388.632753038568
49,24597.2,9168.166370654495
50,24659.933333333334,9436.26652462771
51,24663.666666666668,9218.060794414614
52,24530.866666666665,9070.32064220339
53,24201.2,8587.081004126407
54,23650.666666666668,8406.39671123524
55,23917.2,8775.54333848989
56,24084.733333333334,8921.429653741976
57,23609.933333333334,8916.051500096943
58,23722.733333333334,8484.374650469168
59,23726.133333333335,8944.531129344317
60,24119.866666666665,8875.213573821893
61,23902.666666666668,8931.477366728359
62,23690.866666666665,8643.404106738326
63,23187.266666666666,8677.609401431337
64,23670.466666666667,8591.148974103411
65,23692.066666666666,8795.16330122631
66,22744.6,8813.009675636193
67,23132.333333333332,8378.166025591816
68,22246.6,8184.994029145218
69,23132.866666666665,8028.409563780956
70,23587.4,8521.545289106063
71,22958.266666666666,8400.99587180563
72,23212.8,8072.694046687795
73,23170.066666666666,8224.41937565605
74,23064.666666666668,8335.769479149709
75,22258.733333333334,9295.938440805108
76,22480.933333333334,9123.935957270905
77,22082.2,8803.137770136284
78,21797.266666666666,8755.03744355758
79,21702.466666666667,8655.487069456218
80,21578.133333333335,8719.99348678219
81,21812.0,8752.355470712686
82,21532.733333333334,8626.87746412063
83,21754.666666666668,9193.746070537503
84,21629.4,8704.433417189526
85,21803.8,9188.849051198646
86,22127.8,9357.696520588204
87,21631.133333333335,8459.583786339328
88,21635.333333333332,8482.160301535947
89,21646.866666666665,9264.427226660873
90,21566.4,8689.680865420614
91,21484.266666666666,8675.732364859272
92,21824.533333333333,9224.232913261418
93,21420.4,9203.700900026188
94,21542.333333333332,9080.706105857207
95,21483.066666666666,8647.909437436036
96,21879.066666666666,8893.87265374046
97,21886.533333333333,8919.77741447675
98,21489.533333333333,8347.330496004324
99,20992.4,8696.428321032558
100,22075.0,8858.872735447618
