flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,7.0.0.157,49153,5.0.0.2,50000,1.00933,32.0426,31.0332,14704.6,979.007,979.007,23.7755,4.68199,93.3422,6.65781,54222,3610,57041544,3797720
2,7.0.0.156,49153,5.0.0.2,50000,1.01005,207.52,206.509,2427.08,1062.49,1062.49,16.7871,3.17609,56.2237,43.7763,59555,26071,62651860,27426692
3,7.0.0.155,49153,5.0.0.2,50000,1.01009,470.752,469.742,977.33,977.294,977.294,14.8192,3.08325,0.00366636,99.9963,54550,54548,57386600,57384496
4,7.0.0.152,49153,5.0.0.2,50000,1.01701,470.743,469.726,1047.31,1047.31,1047.31,14.3399,2.99593,0,100,58454,58454,61493608,61493608
5,7.0.0.154,49153,5.0.0.2,50000,1.01828,470.757,469.738,1071.31,1071.31,1071.31,13.6419,2.99596,0,100,59795,59795,62904340,62904340
6,7.0.0.153,49153,5.0.0.2,50000,1.02502,43.6926,42.6676,7547.42,635.329,635.329,32.5647,6.96404,91.5822,8.41783,38264,3221,40253728,3388492
7,7.0.0.135,49153,1.0.0.2,9,1.06,5.36753,4.30753,1343.69,1343.69,1343.69,9.80905,0.906122,0,100,798,798,723500,723500
9,7.0.0.145,49153,1.0.0.2,9,1.075,5.36606,4.29106,1366.31,1366.31,1366.31,28.8247,1.18584,0,100,980,980,732864,732864
11,7.0.0.10,49153,1.0.0.2,9,1.087,5.36606,4.27906,1369.75,1369.75,1369.75,20.192,1.14526,0,100,976,976,732656,732656
13,7.0.0.8,49153,1.0.0.2,9,1.146,5.36606,4.22006,1389.2,1389.2,1389.2,21.7074,1.18498,0,100,979,979,732812,732812
15,7.0.0.59,49153,1.0.0.2,9,1.165,5.38457,4.21957,1375.85,1375.85,1375.85,15.624,1.06181,0,100,842,842,725688,725688
17,7.0.0.45,49153,1.0.0.2,9,1.171,5.36606,4.19506,1397.57,1397.57,1397.57,28.8631,1.26053,0,100,980,980,732864,732864
19,7.0.0.3,49153,1.0.0.2,9,5.38257,10.3676,4.985,1161.08,1161.08,1161.08,9.23013,0.920826,0,100,798,798,723500,723500
21,7.0.0.149,49153,1.0.0.2,9,5.40457,9.83807,4.4335,150.693,119.158,119.158,10.0713,1.82961,2.45747,97.5425,529,516,83512,66036
