round,total_numsym
1,75886
2,74866
3,72057
4,99256
5,79762
6,81070
7,28910
8,64902
9,59854
10,69107
11,94190
12,67929
13,88169
14,51231
15,44236
16,38250
17,72395
18,89928
19,70971
20,89151
21,60235
22,61889
23,48746
24,41392
25,65253
26,37228
27,70645
28,57799
29,39534
30,91884
31,66323
32,92773
33,90529
34,64004
35,78090
36,89185
37,70999
38,39060
39,51792
40,46268
41,60281
42,61359
43,77667
44,67314
45,114049
46,89441
47,57086
48,47033
49,71183
50,56874
51,54591
52,84670
53,74569
54,84791
55,79354
56,76216
57,62420
58,76615
59,47014
60,31574
61,88367
62,68621
63,80235
64,44003
65,40807
66,75109
67,64718
68,65781
69,69124
70,59853
71,70703
72,58243
73,83688
74,79578
75,45226
76,56692
77,86617
78,63134
79,38471
80,68428
81,77145
82,81981
83,58682
84,53586
85,56883
86,36254
87,84814
88,39002
89,64731
90,78498
91,91222
92,62144
93,92371
94,36162
95,66242
96,66804
97,62351
98,44375
99,62039
100,65173
