flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,7.0.0.157,49153,5.0.0.2,50000,1.00933,164.05,163.041,2985.64,958.926,958.926,14.4392,2.79213,67.8821,32.1179,57840,18577,60847680,19543004
2,7.0.0.156,49153,5.0.0.2,50000,1.01005,183.964,182.954,2921.78,1065.42,1065.42,7.85484,0.897813,63.5352,36.4648,63516,23161,66818832,24365372
3,7.0.0.155,49153,5.0.0.2,50000,1.01009,501.993,500.983,977.465,977.062,977.062,7.57714,0.616516,0.041247,99.9588,58186,58162,61211672,61186424
4,7.0.0.152,49153,5.0.0.2,50000,1.01701,501.994,500.977,1047.53,1047.51,1047.51,7.27785,0.507087,0.00160369,99.9984,62356,62355,65598512,65597460
5,7.0.0.154,49153,5.0.0.2,50000,1.01828,501.996,500.977,1071.55,1071.53,1071.53,7.27769,0.50506,0.00156774,99.9984,63786,63785,67102872,67101820
6,7.0.0.153,49153,5.0.0.2,50000,1.02502,29.1041,28.079,12251.9,644.709,644.709,16.6456,3.94266,94.7379,5.26213,40877,2151,43002604,2262852
7,7.0.0.51,49153,1.0.0.2,9,1.06,6.07757,5.01757,1220.12,1081.21,1081.21,30.0465,4.08041,7.28155,92.7184,824,764,765252,678132
9,7.0.0.59,49153,1.0.0.2,9,1.075,2.63256,1.55756,172.557,44.6235,44.6235,17.5919,4.31105,74.1486,25.8514,646,167,33596,8688
11,7.0.0.78,49153,1.0.0.2,9,1.087,11.0096,9.92257,0.170924,0.128999,0.128999,38.8651,97.799,25,75,4,3,212,160
13,7.0.0.11,49153,1.0.0.2,9,1.146,6.00406,4.85806,1214.86,1205.3,1205.3,11.5788,1.50197,0.414079,99.5859,966,962,737736,731928
15,7.0.0.42,49153,1.0.0.2,9,1.165,3.05753,1.89253,172.349,45.0783,45.0783,31.2781,5.45295,73.852,26.148,784,205,40772,10664
16,7.0.0.135,49153,1.0.0.2,9,1.171,6.00406,4.83306,1213.25,1213.25,1213.25,22.5371,0.979207,0,100,980,980,732964,732964
19,7.0.0.133,49153,1.0.0.2,9,6.021,15.6661,9.64507,186.8,144.648,144.648,12.2438,6.13278,7.70925,92.2907,454,419,225212,174392
21,7.0.0.118,49153,1.0.0.2,9,6.043,11.0876,5.04457,629.899,572.249,572.249,35.509,3.62537,3.48525,96.5147,746,720,397196,360844
23,7.0.0.27,49153,1.0.0.2,9,6.103,11.0051,4.90207,894.565,832.955,832.955,14.7892,2.38173,3.06243,96.9376,849,823,548152,510400
25,7.0.0.150,49153,1.0.0.2,9,6.123,10.2451,4.12207,190.258,161.977,161.977,9.42359,2.27716,2.04082,97.9592,539,528,98032,83460
27,7.0.0.105,49153,1.0.0.2,9,6.148,11.0081,4.86006,1208.73,1206.34,1206.34,23.9621,0.966393,0.101937,99.8981,981,980,734316,732864
29,7.0.0.126,49153,1.0.0.2,9,6.171,11.0041,4.83306,1213.25,1213.25,1213.25,32.3893,0.906935,0,100,980,980,732964,732964
31,7.0.0.98,49153,1.0.0.2,9,11.021,11.7406,0.719565,511.287,202.389,202.389,18.3595,2.29494,22.9075,77.0925,454,350,45988,18204
33,7.0.0.43,49153,1.0.0.2,9,11.052,16.0051,4.95306,1185.96,1183.61,1183.61,20.0106,1.41371,0.102041,99.898,980,979,734264,732812
35,7.0.0.150,49154,1.0.0.2,9,11.098,13.3671,2.26907,2132.04,1737.86,1737.86,42.6053,2.3975,9.2437,90.7563,833,756,604720,492916
36,7.0.0.49,49153,1.0.0.2,9,11.129,16.0055,4.87653,102.762,76.474,76.474,14.8209,3.94389,3.49854,96.5015,343,331,62640,46616
38,7.0.0.65,49153,1.0.0.2,9,11.153,16.3116,5.15857,1166.58,1137.31,1137.31,13.9769,2.72086,1.29225,98.7078,1006,993,752236,733360
40,7.0.0.33,49153,1.0.0.2,9,11.18,15.0966,3.91657,156.276,105.431,105.431,14.961,3.55361,4.18327,95.8167,502,481,76508,51616
43,7.0.0.121,49153,1.0.0.2,9,16.014,19.3911,3.37707,386.276,289.349,289.349,17.1258,4.52327,5.70934,94.2907,578,545,163060,122144
45,7.0.0.91,49153,1.0.0.2,9,16.085,21.0056,4.92057,1191.25,1191.25,1191.25,12.6932,1.26899,0,100,975,975,732704,732704
47,7.0.0.129,49153,1.0.0.2,9,16.122,21.2336,5.11156,1161.9,1148.27,1148.27,25.3779,2.15277,0.595829,99.4042,1007,1001,742392,733680
48,7.0.0.97,49153,1.0.0.2,9,16.13,21.004,4.87403,1202.8,1202.8,1202.8,20.7277,1.75163,0,100,979,979,732812,732812
51,7.0.0.67,49153,1.0.0.2,9,16.162,21.004,4.84203,1210.75,1210.75,1210.75,38.763,1.59048,0,100,979,979,732812,732812
52,7.0.0.95,49153,1.0.0.2,9,16.168,21.004,4.83603,1212.17,1212.17,1212.17,38.6941,1.58597,0,100,978,978,732760,732760
55,7.0.0.139,49153,1.0.0.2,9,21.018,26.0056,4.98756,1160.74,1160.74,1160.74,10.6825,1.05243,0,100,801,801,723656,723656
57,7.0.0.94,49153,1.0.0.2,9,21.056,26.0041,4.94806,1184.89,1184.89,1184.89,31.3407,1.23694,0,100,980,980,732864,732864
58,7.0.0.149,49153,1.0.0.2,9,21.081,25.9236,4.84257,797.699,718.541,718.541,28.3767,2.21091,4.09938,95.9006,805,772,482864,434948
60,7.0.0.68,49153,1.0.0.2,9,21.098,26.0041,4.90606,1220.99,1197.32,1197.32,45.9475,1.75172,1.0101,98.9899,990,980,748784,734264
63,7.0.0.70,49153,1.0.0.2,9,21.123,26.0041,4.88107,367.716,343.918,343.918,12.6377,2.73522,1.59744,98.4026,626,616,224356,209836
65,7.0.0.92,49153,1.0.0.2,9,21.178,25.7325,4.55453,279.402,243.604,243.604,20.6428,2.82683,2.57732,97.4227,582,567,159068,138688
67,7.0.0.59,49154,1.0.0.2,9,26.01,0,0,0,0,0,0,0,100,0,3,0,164,0
