round,total_ul_rbg
1,49272
2,37920
3,37064
4,37239
5,37815
6,35936
7,37430
8,37164
9,37285
10,37135
11,35378
12,36044
13,35445
14,34241
15,34665
16,36429
17,38628
18,38045
19,36111
20,37053
21,35671
22,37884
23,35106
24,37820
25,33998
26,35695
27,36408
28,37584
29,35847
30,35351
31,37177
32,38797
33,36945
34,36586
35,35922
36,36192
37,36081
38,37066
39,35323
40,35504
41,33837
42,35883
43,36196
44,33501
45,34126
46,35208
47,34506
48,37227
49,34866
50,34684
51,34670
52,36843
53,34708
54,37070
55,36217
56,35992
57,34874
58,34671
59,37080
60,36937
61,36445
62,36013
63,34201
64,35842
65,30586
66,27424
67,27621
68,27342
69,27817
70,28503
71,28070
72,28664
73,27694
74,28301
75,26854
76,26791
77,27155
78,26690
79,27584
80,26368
81,27328
82,26664
83,26974
84,25908
85,27888
86,25920
87,25934
88,26601
89,26523
90,28511
91,26594
92,27880
93,26755
94,27688
95,26431
96,26245
97,27343
98,26155
99,27037
100,26885
