round,start_sim,end_sim,duration_sim,start_wall,end_wall,duration_wall
1,1,5.84707,4.84707,06:52:58,07:00:08,430.635
2,5.84707,10.8471,5,07:00:08,07:06:36,387.964
3,10.8471,15.8471,5,07:06:36,07:12:56,379.772
4,15.8471,19.647,3.79997,07:12:56,07:18:45,349.059
5,19.647,24.5361,4.88904,07:18:45,07:25:53,427.947
6,24.5361,29.5361,5,07:25:53,07:32:13,380.498
7,29.5361,34.5361,5,07:32:13,07:38:36,382.558
8,34.5361,38.2621,3.726,07:38:36,07:43:58,321.731
9,38.2621,41.8651,3.603,07:43:58,07:49:14,316.673
10,41.8651,46.8651,5,07:49:14,07:55:15,360.854
11,46.8651,50.5391,3.674,07:55:15,08:00:51,335.702
12,50.5391,55.5391,5,08:00:51,08:07:48,417.133
13,55.5391,59.5541,4.015,08:07:48,08:13:32,344.303
14,59.5541,63.0996,3.5455,08:13:32,08:18:59,326.533
15,63.0996,66.887,3.78747,08:18:59,08:24:30,330.968
16,66.887,71.5701,4.68303,08:24:30,08:31:08,398.501
17,71.5701,76.5701,5,08:31:08,08:37:51,402.429
18,76.5701,81.5701,5,08:37:51,08:44:20,389.248
19,81.5701,85.1321,3.562,08:44:20,08:49:32,311.555
20,85.1321,89.4691,4.337,08:49:32,08:55:47,375.523
21,89.4691,92.9991,3.53,08:55:47,09:00:58,310.853
22,92.9991,97.9991,5,09:00:58,09:08:03,425.036
23,97.9991,102.999,5,09:08:03,09:15:13,429.753
24,102.999,107.246,4.247,09:15:13,09:21:19,366.057
25,107.246,111.614,4.368,09:21:19,09:27:40,381.28
26,111.614,115.247,3.633,09:27:40,09:32:59,318.72
27,115.247,120.247,5,09:32:59,09:39:23,384.321
28,120.247,125.247,5,09:39:23,09:46:09,406.02
29,125.247,130.247,5,09:46:09,09:52:35,385.882
30,130.247,135.247,5,09:52:35,09:59:46,431.138
31,135.247,139.406,4.159,09:59:46,10:05:28,342.159
32,139.406,143.082,3.6755,10:05:28,10:10:44,315.737
33,143.082,148.082,5,10:10:44,10:16:53,368.854
34,148.082,153.082,5,10:16:53,10:23:49,415.834
35,153.082,158.082,5,10:23:49,10:30:03,374.342
36,158.082,163.082,5,10:30:03,10:36:57,413.462
37,163.082,166.457,3.3755,10:36:57,10:41:49,292.487
38,166.457,169.95,3.49247,10:41:49,10:47:12,323.306
39,169.95,174.95,5,10:47:12,10:53:58,406.114
40,174.95,178.542,3.5925,10:53:58,10:59:32,333.542
41,178.542,183.542,5,10:59:32,11:05:45,372.963
42,183.542,187.492,3.95003,11:05:45,11:11:26,341.125
43,187.492,192.492,5,11:11:26,11:18:14,407.802
44,192.492,196.353,3.8605,11:18:14,11:23:45,330.844
45,196.353,200.161,3.8085,11:23:45,11:29:18,332.983
46,200.161,205.161,5,11:29:18,11:35:51,393.361
47,205.161,210.161,5,11:35:51,11:42:40,409.15
48,210.161,213.86,3.69846,11:42:40,11:48:06,325.923
49,213.86,218.86,5,11:48:06,11:54:30,383.821
50,218.86,222.507,3.647,11:54:30,11:59:49,319.391
51,222.507,227.507,5,11:59:49,12:05:56,366.115
52,227.507,232.507,5,12:05:56,12:11:58,362.747
53,232.507,237.507,5,12:11:58,12:18:09,370.849
54,237.507,242.507,5,12:18:09,12:24:17,367.41
55,242.507,247.507,5,12:24:17,12:30:38,381.749
56,247.507,252.507,5,12:30:38,12:37:02,383.956
57,252.507,257.507,5,12:37:02,12:43:18,375.98
58,257.507,262.507,5,12:43:18,12:49:48,389.285
59,262.507,267.507,5,12:49:48,12:56:21,393.529
60,267.507,271.623,4.11654,12:56:21,13:02:14,352.492
61,271.623,276.623,5,13:02:14,13:08:38,384.113
62,276.623,281.623,5,13:08:38,13:15:13,395.547
63,281.623,286.623,5,13:15:13,13:22:12,419.078
64,286.623,290.361,3.738,13:22:12,13:27:38,325.686
65,290.361,295.361,5,13:27:38,13:34:21,402.882
66,295.361,300.361,5,13:34:21,13:40:41,379.844
67,300.361,305.361,5,13:40:41,13:47:12,391.46
68,305.361,310.361,5,13:47:12,13:53:21,368.353
69,310.361,315.361,5,13:53:21,13:59:51,390.066
70,315.361,320.361,5,13:59:51,14:06:16,385.843
71,320.361,324.254,3.89296,14:06:16,14:12:04,347.399
72,324.254,327.931,3.67654,14:12:04,14:17:27,323.073
73,327.931,332.931,5,14:17:27,14:23:30,362.731
74,332.931,337.931,5,14:23:30,14:30:09,398.898
75,337.931,341.499,3.56847,14:30:09,14:35:37,328.404
76,341.499,346.499,5,14:35:37,14:42:00,382.594
77,346.499,351.499,5,14:42:00,14:48:38,398.223
78,351.499,354.813,3.31354,14:48:38,14:53:47,309.28
79,354.813,359.813,5,14:53:47,15:00:16,389.377
80,359.813,363.365,3.552,15:00:16,15:05:27,310.638
81,363.365,368.365,5,15:05:27,15:11:14,347.008
82,368.365,373.365,5,15:11:14,15:17:29,374.806
83,373.365,378.236,4.87096,15:17:29,15:24:04,394.622
84,378.236,383.236,5,15:24:04,15:30:31,387.299
85,383.236,387.06,3.82454,15:30:31,15:36:08,337.378
86,387.06,390.553,3.49296,15:36:08,15:41:11,302.599
87,390.553,393.915,3.3615,15:41:11,15:46:21,310.413
88,393.915,398.915,5,15:46:21,15:52:34,372.605
89,398.915,402.825,3.91054,15:52:34,15:58:30,355.825
90,402.825,406.507,3.68196,15:58:30,16:03:47,317.736
91,406.507,409.913,3.40554,16:03:47,16:08:43,295.876
92,409.913,414.913,5,16:08:43,16:15:07,383.352
93,414.913,419.913,5,16:15:07,16:21:33,386.151
94,419.913,424.913,5,16:21:33,16:27:28,354.931
95,424.913,428.504,3.591,16:27:28,16:32:40,312.78
96,428.504,431.846,3.3425,16:32:40,16:37:48,307.153
97,431.846,435.35,3.504,16:37:48,16:42:55,306.891
98,435.35,438.861,3.51046,16:42:55,16:47:57,302.929
99,438.861,443.861,5,16:47:57,16:54:16,378.283
100,443.861,448.861,5,16:54:16,17:00:41,385.294
