round,total_tbSize
1,5225373
2,2554346
3,3991866
4,4962092
5,5646430
6,4134094
7,4214809
8,5174619
9,4923865
10,3312891
11,4956075
12,5284463
13,5793300
14,4928093
15,5045029
16,5473832
17,4455117
18,3961774
19,4957077
20,6737014
21,4901594
22,6080542
23,5707461
24,6104801
25,5865535
26,4952312
27,4091742
28,5238201
29,4211468
30,4748771
31,6155598
32,5060614
33,3261422
34,4153424
35,3272449
36,5253600
37,4952488
38,4897838
39,4346255
40,6103248
41,4026712
42,5181847
43,6290341
44,5301063
45,5409603
46,4033864
47,3536620
48,4957718
49,4151233
50,4995845
51,3403896
52,3306512
53,3847672
54,3236640
55,4143016
56,4047062
57,4538447
58,4048464
59,4667253
60,6661838
61,4117508
62,5122083
63,4651943
64,5061803
65,5464568
66,3836850
67,5345011
68,4509881
69,4313706
70,4093092
71,5420581
72,4910845
73,3391045
74,5003219
75,5231383
76,4133811
77,5258890
78,4918303
79,4597525
80,4994146
81,2543490
82,5494121
83,6000545
84,4869633
85,5057003
86,5064547
87,4897153
88,3940933
89,5031505
90,5359667
91,4914490
92,4022251
93,4759961
94,3263058
95,5009958
96,4867148
97,5084407
98,5163718
99,4632029
100,4096584
