round,start_sim,end_sim,duration_sim,start_wall,end_wall,duration_wall
1,1,6,5,18:14:36,18:21:31,415.044
2,6,11,5,18:21:31,18:28:35,423.877
3,11,16,5,18:28:35,18:35:02,387.53
4,16,21,5,18:35:02,18:41:40,397.472
5,21,26,5,18:41:40,18:47:50,370.87
6,26,31,5,18:47:50,18:54:36,405.411
7,31,35.4636,4.46357,18:54:36,19:00:53,377.466
8,35.4636,40.4636,5,19:00:53,19:07:15,381.516
9,40.4636,45.4636,5,19:07:15,19:14:12,416.825
10,45.4636,50.4636,5,19:14:12,19:20:28,376.226
11,50.4636,54.1611,3.6975,19:20:28,19:26:10,342.463
12,54.1611,59.1611,5,19:26:10,19:32:52,401.912
13,59.1611,64.1611,5,19:32:52,19:39:28,395.302
14,64.1611,69.1611,5,19:39:28,19:45:18,350.329
15,69.1611,74.1611,5,19:45:18,19:51:36,377.894
16,74.1611,79.1611,5,19:51:36,19:58:08,392.35
17,79.1611,84.1611,5,19:58:08,20:04:53,404.944
18,84.1611,89.1611,5,20:04:53,20:11:11,377.479
19,89.1611,94.1611,5,20:11:11,20:17:31,380.394
20,94.1611,99.1611,5,20:17:31,20:23:56,385.221
21,99.1611,104.161,5,20:23:56,20:30:01,364.98
22,104.161,109.161,5,20:30:01,20:35:43,341.989
23,109.161,114.161,5,20:35:43,20:42:15,391.404
24,114.161,119.161,5,20:42:15,20:48:33,378.443
25,119.161,124.161,5,20:48:33,20:55:12,398.654
26,124.161,128.367,4.206,20:55:12,21:01:15,363.725
27,128.367,133.367,5,21:01:15,21:07:53,397.961
28,133.367,138.367,5,21:07:53,21:14:09,375.969
29,138.367,143.367,5,21:14:09,21:19:57,347.856
30,143.367,148.367,5,21:19:57,21:26:50,412.928
31,148.367,153.367,5,21:26:50,21:33:44,413.761
32,153.367,158.367,5,21:33:44,21:40:16,392.604
33,158.367,163.367,5,21:40:16,21:45:34,317.877
34,163.367,168.367,5,21:45:34,21:52:18,404.055
35,168.367,173.367,5,21:52:18,21:58:12,354.049
36,173.367,178.367,5,21:58:12,22:04:03,350.734
37,178.367,183.367,5,22:04:03,22:09:51,348.175
38,183.367,187.361,3.994,22:09:51,22:15:38,346.825
39,187.361,192.361,5,22:15:38,22:21:37,358.362
40,192.361,197.361,5,22:21:37,22:27:46,369.102
41,197.361,202.361,5,22:27:46,22:33:51,365.116
42,202.361,207.361,5,22:33:51,22:40:04,372.876
43,207.361,212.361,5,22:40:04,22:45:24,320.306
44,212.361,217.361,5,22:45:24,22:51:54,390.121
45,217.361,222.361,5,22:51:54,22:57:33,338.743
46,222.361,227.361,5,22:57:33,23:03:44,371.385
47,227.361,232.361,5,23:03:44,23:09:24,339.733
48,232.361,237.361,5,23:09:24,23:15:48,384.295
49,237.361,242.361,5,23:15:48,23:21:51,362.802
50,242.361,247.361,5,23:21:51,23:27:58,366.971
51,247.361,252.361,5,23:27:58,23:33:48,349.93
52,252.361,257.361,5,23:33:48,23:40:14,385.804
53,257.361,262.361,5,23:40:14,23:46:14,360.143
54,262.361,267.361,5,23:46:14,23:52:30,376.236
55,267.361,272.361,5,23:52:30,23:58:51,380.615
56,272.361,277.361,5,23:58:51,00:05:18,387.115
57,277.361,282.361,5,00:05:18,00:11:47,389.353
58,282.361,287.361,5,00:11:47,00:17:43,355.926
59,287.361,292.361,5,00:17:43,00:23:25,342.17
60,292.361,297.361,5,00:23:25,00:29:48,382.771
61,297.361,302.361,5,00:29:48,00:36:19,391.342
62,302.361,307.361,5,00:36:19,00:42:02,342.248
63,307.361,312.361,5,00:42:02,00:48:09,366.902
64,312.361,317.361,5,00:48:09,00:53:39,330.387
65,317.361,322.361,5,00:53:39,00:59:43,364.368
66,322.361,327.361,5,00:59:43,01:05:39,355.826
67,327.361,332.361,5,01:05:39,01:11:25,346.032
68,332.361,337.361,5,01:11:25,01:16:56,330.482
69,337.361,342.361,5,01:16:56,01:23:47,411.483
70,342.361,347.361,5,01:23:47,01:29:14,326.904
71,347.361,352.361,5,01:29:14,01:35:39,384.911
72,352.361,357.361,5,01:35:39,01:41:14,335.49
73,357.361,362.361,5,01:41:14,01:46:59,344.466
74,362.361,367.361,5,01:46:59,01:53:23,383.63
75,367.361,372.361,5,01:53:23,01:59:03,340.355
76,372.361,377.361,5,01:59:03,02:04:41,338.109
77,377.361,382.361,5,02:04:41,02:10:37,355.708
78,382.361,387.361,5,02:10:37,02:16:19,342.318
79,387.361,392.361,5,02:16:19,02:22:06,347.117
80,392.361,397.361,5,02:22:06,02:28:13,367.055
81,397.361,402.361,5,02:28:13,02:34:12,359.186
82,402.361,407.361,5,02:34:12,02:39:57,344.568
83,407.361,412.361,5,02:39:57,02:45:40,343.072
84,412.361,417.361,5,02:45:40,02:51:22,342.098
85,417.361,422.361,5,02:51:22,02:57:17,355.195
86,422.361,427.361,5,02:57:17,03:03:23,366.149
87,427.361,432.361,5,03:03:23,03:09:12,348.904
88,432.361,437.361,5,03:09:12,03:14:41,328.671
89,437.361,440.259,2.89746,03:14:41,03:18:57,255.943
90,440.259,445.259,5,03:18:57,03:24:41,344.29
91,445.259,450.259,5,03:24:41,03:30:20,338.957
92,450.259,455.259,5,03:30:20,03:36:27,366.335
93,455.259,460.259,5,03:36:27,03:42:13,346.189
94,460.259,465.259,5,03:42:13,03:48:17,364.18
95,465.259,470.259,5,03:48:17,03:53:52,335.236
96,470.259,475.259,5,03:53:52,03:59:56,363.295
97,475.259,480.259,5,03:59:56,04:05:38,342.96
98,480.259,485.259,5,04:05:38,04:11:34,355.653
99,485.259,490.259,5,04:11:34,04:17:23,348.689
