round,success_count
1,1
2,2
3,2
4,4
5,3
6,4
7,5
8,4
9,4
10,1
11,6
12,3
13,2
14,2
15,5
16,2
17,5
18,3
19,4
20,3
21,4
22,3
23,3
24,3
25,3
26,6
27,4
28,4
29,4
30,5
31,5
32,4
33,3
34,4
35,4
36,4
37,2
38,5
39,5
40,5
41,4
42,4
43,3
44,6
45,3
46,5
47,1
48,5
49,3
50,4
51,4
52,5
53,3
54,5
55,4
56,6
57,2
58,4
59,3
60,5
61,5
62,3
63,6
64,3
65,4
66,4
67,4
68,2
69,4
70,3
71,6
72,4
73,5
74,5
75,2
76,4
77,2
78,4
79,3
80,5
81,5
82,4
83,3
84,3
85,5
86,4
87,4
88,3
89,6
90,4
91,3
92,6
93,4
94,3
95,3
96,4
97,4
98,6
99,4
100,3
