round,count
1,4229
2,5829
3,5441
4,6856
5,5309
6,10612
7,12390
8,4179
9,6498
10,4464
11,7634
12,6686
13,5188
14,5469
15,8687
16,6021
17,8499
18,6340
19,7099
20,4918
21,5217
22,5948
23,6745
24,4952
25,7182
26,10178
27,4376
28,9007
29,3623
30,7931
31,6553
32,7263
33,1935
34,7235
35,2249
36,4333
37,3478
38,8344
39,6237
40,6776
41,6151
42,4099
43,2751
44,8863
45,3508
46,3519
47,1201
48,8783
49,3774
50,5230
51,3995
52,6569
53,4893
54,8268
55,4927
56,7779
57,4133
58,5266
59,3132
60,6302
61,5690
62,3464
63,7561
64,3697
65,4859
66,7661
67,3785
68,1679
69,5671
70,1528
71,8010
72,3873
73,3688
74,8335
75,1434
76,7351
77,2640
78,5123
79,4379
80,7585
81,5379
82,3594
83,2041
84,2381
85,7099
86,4679
87,6847
88,3529
89,9103
90,5746
91,4336
92,11820
93,4887
94,5374
95,3520
96,6249
97,7835
98,10304
99,7445
100,4268
