round,success_count
1,2
2,2
3,4
4,4
5,4
6,3
7,5
8,4
9,4
10,4
11,5
12,2
13,2
14,2
15,3
16,2
17,3
18,4
19,2
20,3
21,3
22,2
23,3
24,3
25,6
26,4
27,3
28,3
29,4
30,2
31,4
32,6
33,2
34,4
35,5
36,3
37,3
38,3
39,5
40,5
41,5
42,4
43,1
44,1
45,4
46,4
47,4
48,4
49,4
50,5
51,2
52,3
53,2
54,4
55,4
56,2
57,3
58,4
59,4
60,3
61,5
62,3
63,3
64,4
65,3
66,1
67,4
68,3
69,3
70,3
71,2
72,4
73,5
74,5
75,5
76,3
77,4
78,2
79,3
80,4
81,4
82,3
83,2
84,4
85,3
86,3
87,4
88,2
89,4
90,1
91,5
92,6
93,3
94,3
95,2
96,4
97,3
98,4
99,4
100,3
