round,total_tbSize
1,4889794
2,1865385
3,3713678
4,3957942
5,5237486
6,3362403
7,5096018
8,4314628
9,4189167
10,4553235
11,4685385
12,3494465
13,2568132
14,3861869
15,4852804
16,4922851
17,4452109
18,4312930
19,2952127
20,3053493
21,3494175
22,3935583
23,4756067
24,3442339
25,5651954
26,4466164
27,3028860
28,3341322
29,3348997
30,1914077
31,3761566
32,5446657
33,2991450
34,4121458
35,4888668
36,2806514
37,4347092
38,3033947
39,4433959
40,4875174
41,5013283
42,4670769
43,2157663
44,2175074
45,3614246
46,4124356
47,3919504
48,3432775
49,3494279
50,4138738
51,1749984
52,2760754
53,3043698
54,4116087
55,4699103
56,1734653
57,2704601
58,3406297
59,4091551
60,3162137
61,5220880
62,3888807
63,2686832
64,4367285
65,3500736
66,2102675
67,3471090
68,2597892
69,4630986
70,3532140
71,1592121
72,3511006
73,4304189
74,5651584
75,4223263
76,2446919
77,4653427
78,1579387
79,3053214
80,3386952
81,3863827
82,5100016
83,1997620
84,3335907
85,2710645
86,2586912
87,3895253
88,3010820
89,5207209
90,1015693
91,4808781
92,5126121
93,2879033
94,3049705
95,3264495
96,5794289
97,3970782
98,3964338
99,4932213
100,3096656
