round,total_ul_rbg
1,60677
2,52830
3,66337
4,57508
5,55420
6,62146
7,61046
8,37254
9,60865
10,60565
11,56418
12,50759
13,48235
14,58681
15,47094
16,52777
17,46930
18,62786
19,54838
20,55706
21,50088
22,57732
23,46489
24,55116
25,67580
26,47000
27,53282
28,61381
29,53281
30,40953
31,55128
32,54663
33,63413
34,55962
35,55448
36,61701
37,50166
38,49708
39,56745
40,55614
41,59699
42,55195
43,54344
44,55425
45,57809
46,55064
47,47545
48,55099
49,52467
50,54542
51,55908
52,50903
53,48951
54,57585
55,57547
56,45428
57,54997
58,50362
59,46858
60,57562
61,59729
62,53423
63,40501
64,59667
65,59630
66,56486
67,56633
68,57039
69,57219
70,56176
71,54412
72,58923
73,34901
74,55337
75,56806
76,40658
77,45813
78,46711
79,43756
80,43815
81,60734
82,48829
83,58074
84,45211
85,62886
86,65835
87,59858
88,40911
89,57349
90,61430
91,40941
92,34448
93,56051
94,40717
95,45883
96,47278
97,36893
98,44420
99,55415
100,54259
