round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,1,6,5,1.0.0.2,2568.58,2356.19,2356.19,21.5547,1.84001,51.0308,48.9692,4317,2114,1605362,1472618
1,1,6,5,5.0.0.2,188127,6192.58,6192.58,12.7082,1.7923,96.7092,3.29077,111767,3678,117579180,3870360
2,6,11,5,1.0.0.2,4916.72,4801.74,4801.74,24.9657,1.25456,3.05011,96.9499,4590,4450,3072953,3001087
2,6,11,5,5.0.0.2,96884.4,5015.67,5015.67,11.5421,1.47165,94.8211,5.17894,57560,2981,60552733,3134796
3,11,16,5,1.0.0.2,3390.15,3103.1,3103.1,39.6299,2.48047,34.8747,65.1253,4628,3014,2118844,1939438
3,11,16,5,5.0.0.2,38580.1,4214.17,4214.17,10.5877,1.16935,89.0755,10.9245,22921,2504,24112579,2633857
4,16,21,5,1.0.0.2,3320.57,3113.76,3113.76,22.622,2.02887,36.5699,63.4301,4408,2796,2075356,1946100
4,16,21,5,5.0.0.2,22724,3659.3,3659.3,9.3931,0.884155,83.8975,16.1025,13501,2174,14202501,2287064
5,21,26,5,1.0.0.2,3426.12,3122.33,3122.33,18.2957,2.98037,19.1995,80.8005,4422,3573,2141323,1951456
5,21,26,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
6,26,31,5,1.0.0.2,2138.84,1799.55,1799.55,16.6078,3.25993,38.2572,61.7428,3087,1906,1336774,1124718
6,26,31,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
7,31,36,5,1.0.0.2,4068.75,3892.23,3892.23,28.5858,1.70233,12.6404,87.3596,3916,3421,2542969,2432641
7,31,36,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
8,36,41,5,1.0.0.2,3387.93,3050.66,3050.66,21.7473,3.31612,14.0438,85.9562,3425,2944,2117456,1906665
8,36,41,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
9,41,46,5,1.0.0.2,4872.82,4748.49,4748.49,24.4246,2.13151,1.40992,98.5901,3830,3776,3045515,2967807
9,41,46,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
10,46,51,5,1.0.0.2,6621.17,6510.04,6510.04,26.051,1.50654,9.55268,90.4473,6103,5520,4138232,4068776
10,46,51,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
11,51,56,5,1.0.0.2,4531.27,4330.53,4330.53,14.8626,2.19406,1.85028,98.1497,4702,4615,2832046,2706583
11,51,56,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
12,56,61,5,1.0.0.2,4891.48,4781.5,4781.5,32.561,2.00956,1.22205,98.778,3846,3799,3057176,2988437
12,56,61,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
13,61,66,5,1.0.0.2,4910.16,4744.29,4744.29,20.6664,1.83473,1.69735,98.3027,4183,4112,3068849,2965182
13,61,66,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
14,66,71,5,1.0.0.2,6849.8,6769.96,6769.96,20.852,1.43386,0.601663,99.3983,5651,5617,4281128,4231223
14,66,71,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
15,71,76,5,1.0.0.2,6113.47,6047.38,6047.38,21.5763,1.30407,0.562535,99.4375,5333,5303,3820918,3779614
15,71,76,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
16,76,81,5,1.0.0.2,4157.96,4019.81,4019.81,16.9002,1.9495,1.53698,98.463,4164,4100,2598726,2512384
16,76,81,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
17,81,86,5,1.0.0.2,3545.03,3340.87,3340.87,20.2059,2.21826,16.8665,83.1335,3670,3051,2215644,2088047
17,81,86,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
18,86,91,5,1.0.0.2,2451.34,2376.28,2376.28,27.6647,1.55995,27.843,72.157,3236,2335,1532087,1485175
18,86,91,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
19,91,96,5,1.0.0.2,4856.27,4455.03,4455.03,34.3821,3.17278,4.21355,95.7864,4177,4001,3035169,2784396
19,91,96,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
20,96,101,5,1.0.0.2,4275.77,4188.23,4188.23,17.4517,1.58376,11.1921,88.8079,4253,3777,2672358,2617642
20,96,101,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
21,101,106,5,1.0.0.2,3373.64,3203.24,3203.24,18.8847,1.86233,21.7512,78.2488,4340,3396,2108524,2002022
21,101,106,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
22,106,111,5,1.0.0.2,5580.74,5457.28,5457.28,27.1875,1.95434,1.14458,98.8554,4980,4923,3487963,3410801
22,106,111,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
23,111,116,5,1.0.0.2,5893.5,5851.71,5851.71,22.6961,1.62863,0.374143,99.6259,4811,4793,3683437,3657320
23,111,116,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
24,116,121,5,1.0.0.2,4799.18,4521.73,4521.73,18.6365,2.23505,7.8664,92.1336,4551,4193,2999489,2826083
24,116,121,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
25,121,126,5,1.0.0.2,4558.17,4380.82,4380.82,16.7138,2.33035,1.84287,98.1571,4124,4048,2848858,2738013
25,121,126,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
26,126,131,5,1.0.0.2,3773.55,3635.5,3635.5,17.6525,1.83905,3.69186,96.3081,3440,3313,2358471,2272185
26,126,131,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
27,131,136,5,1.0.0.2,6133.3,5911.36,5911.36,34.5638,1.82576,1.8756,98.1244,5225,5127,3833313,3694602
27,131,136,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
28,136,141,5,1.0.0.2,4890.32,4687.11,4687.11,19.8459,2.15117,11.4319,88.5681,4260,3773,3056451,2929441
28,136,141,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
29,141,146,5,1.0.0.2,5901.17,5861.47,5861.47,22.4895,1.47136,0.348361,99.6516,4880,4863,3688229,3663422
29,141,146,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
30,146,151,5,1.0.0.2,2516.51,2355.58,2355.58,24.7557,1.63569,31.3627,68.6373,2994,2055,1572821,1472235
30,146,151,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
31,151,156,5,1.0.0.2,4776.22,4683.47,4683.47,33.5563,1.66496,16.0972,83.9028,4566,3831,2985135,2927170
31,151,156,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
32,156,161,5,1.0.0.2,5196.76,5080.64,5080.64,20.3266,2.24083,1.12435,98.8756,4447,4397,3247976,3175401
32,156,161,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
33,161,166,5,1.0.0.2,4886.09,4696.59,4696.59,23.0044,2.14033,1.98884,98.0112,4123,4041,3053806,2935366
33,161,166,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
34,166,171,5,1.0.0.2,4982.88,4866.38,4866.38,22.6042,1.82982,1.18277,98.8172,4481,4428,3114299,3041486
34,166,171,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
