flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,7.0.0.154,49153,5.0.0.2,50000,1.0076,4.07353,3.06594,196874,1210.55,1210.55,15.0135,2.55401,99.3851,0.614883,71721,441,75450492,463932
2,7.0.0.152,49153,5.0.0.2,50000,1.01485,65.101,64.0862,7809.26,1013.68,1013.68,7.59414,0.513325,87.0195,12.9805,59466,7719,62558232,8120388
3,7.0.0.157,49153,5.0.0.2,50000,1.02106,13.4436,12.4225,48675.6,1235.05,1235.05,7.79185,0.582813,97.4627,2.5373,71848,1823,75584096,1917796
4,7.0.0.156,49153,5.0.0.2,50000,1.02898,1.79507,0.766082,723545,1142.52,1142.52,54.3948,7.97263,99.8421,0.157906,65862,104,69286824,109408
5,7.0.0.153,49153,5.0.0.2,50000,1.03243,53.2491,52.2166,9208.23,954.476,954.476,12.1008,2.00086,89.6345,10.3655,57132,5922,60102864,6229944
6,7.0.0.18,49153,1.0.0.2,9,1.034,1.66357,0.629565,401.14,51.5911,51.5911,16.8489,3.38083,87.1499,12.8501,607,78,31568,4060
7,7.0.0.147,49153,1.0.0.2,9,1.035,32.7171,31.6821,218.635,184.865,184.865,18.4255,6.99532,8.95382,91.0462,1061,966,865852,732112
8,7.0.0.155,49153,5.0.0.2,50000,1.03778,496.84,495.802,783.951,783.935,783.935,7.32662,0.282571,0.00216525,99.9978,46184,46183,48585568,48584516
9,7.0.0.74,49153,1.0.0.2,9,1.052,2.54457,1.49257,213.517,62.1748,62.1748,28.7077,4.65316,70.8877,29.1123,766,223,39836,11600
12,7.0.0.126,49153,1.0.0.2,9,1.067,6.00406,4.93706,1201.39,1187.27,1187.27,8.2384,0.926767,0.611621,99.3884,981,975,741416,732704
15,7.0.0.11,49153,1.0.0.2,9,1.121,6.00406,4.88306,1200.74,1200.74,1200.74,20.7853,0.749195,0,100,979,979,732912,732912
