round,total_tbSize
1,1402619
2,3625010
3,3097189
4,3263809
5,3918138
6,603208
7,3028481
8,2437740
9,5168332
10,4111027
11,4133947
12,2949825
13,4215101
14,4673457
15,4239351
16,4251373
17,2866772
18,2700106
19,3318054
20,2218568
21,3077778
22,4647593
23,3475002
24,4218688
25,4062591
26,1931696
27,4418345
28,3266345
29,5257795
30,1472830
31,3723117
32,4176404
33,2668728
34,2530593
35,3291025
36,1689787
37,4375398
38,3914090
39,4487143
40,2101635
41,3321161
42,4553882
43,2945454
44,3169486
45,4733300
46,3589400
47,2682010
48,3873377
49,3110878
50,4193408
51,3086091
52,2745392
53,3461222
54,3342275
55,4095956
56,3010243
57,883897
58,3535248
59,3610749
60,4336049
61,4650174
62,3748512
63,1954523
64,4614555
65,4702794
66,3661759
67,1349218
68,3586457
69,2605038
70,1784280
71,5265495
72,4596538
73,3172842
74,3694624
75,3638943
76,4120042
77,4078939
78,3242130
79,4161436
80,2919747
81,4900568
82,4026789
83,4400201
84,850096
85,5073332
86,2072483
87,4024712
88,2640906
89,2712491
90,4168171
91,2262024
92,2130465
93,1575499
94,3907839
95,2891002
96,4336937
97,2196796
98,2521526
99,5034489
100,4517023
