flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,7.0.0.153,49153,5.0.0.2,50000,1.0069,498.185,497.178,1002.55,1002.13,1002.13,7.52917,0.641444,0.0422112,99.9578,59226,59201,62305752,62279452
2,7.0.0.152,49153,5.0.0.2,50000,1.0102,173.835,172.825,3355.74,1166.87,1166.87,8.19724,0.945189,65.2276,34.7724,68911,23962,72494372,25208024
3,7.0.0.157,49153,5.0.0.2,50000,1.0129,380.887,379.874,1482.99,1133.04,1133.04,7.69192,0.714142,23.598,76.402,66938,51142,70418776,53801384
4,7.0.0.123,49153,1.0.0.2,9,1.013,6.00406,4.99106,1172.85,1172.85,1172.85,31.6247,1.17691,0,100,958,958,731720,731720
5,7.0.0.156,49153,5.0.0.2,50000,1.01615,16.4046,15.3884,32421.1,978.96,978.96,25.4626,5.11462,96.9805,3.01952,59281,1790,62363612,1883080
7,7.0.0.154,49153,5.0.0.2,50000,1.03254,498.194,497.161,1048.66,1048.65,1048.65,7.28243,0.54828,0.00161426,99.9984,61948,61947,65169296,65168244
8,7.0.0.44,49153,1.0.0.2,9,1.036,8.99757,7.96157,225.491,180.415,180.415,33.1899,6.48574,8.77193,91.2281,627,572,224408,179548
10,7.0.0.155,49153,5.0.0.2,50000,1.09451,498.158,497.063,226.644,226.424,226.424,7.63693,0.597915,0.0971164,99.9029,13386,13373,14082072,14068396
11,7.0.0.55,49153,1.0.0.2,9,1.107,6.12757,5.02057,106.876,79.685,79.685,35.9037,6.62783,6.28684,93.7132,509,477,67072,50008
13,7.0.0.41,49153,1.0.0.2,9,1.164,4.93007,3.76607,134.923,52.1457,52.1457,32.196,5.90444,46.1187,53.8813,876,472,63516,24548
14,7.0.0.150,49153,1.0.0.2,9,1.171,6.00406,4.83306,1213,1213,1213,22.8582,1.26233,0,100,979,979,732812,732812
17,7.0.0.91,49153,1.0.0.2,9,1.198,6.02806,4.83006,1213.84,1213.84,1213.84,15.7631,1.13306,0,100,980,980,732864,732864
19,7.0.0.88,49153,1.0.0.2,9,6,11.9315,5.93153,1040.99,988.114,988.114,16.2679,3.0947,2.68657,97.3134,1005,978,771832,732628
21,7.0.0.118,49153,1.0.0.2,9,6.029,6.07503,0.0460289,4664.2,63.9598,63.9598,8.77471,3.00472,98.6434,1.35659,516,7,26836,368
23,7.0.0.31,49153,1.0.0.2,9,6.085,6.17456,0.0895644,2564.23,116.475,116.475,5.60286,1.58805,95.471,4.52899,552,25,28708,1304
25,7.0.0.115,49153,1.0.0.2,9,6.113,11.0041,4.89107,383.164,323.79,323.79,12.7722,3.83065,3.98089,96.0191,628,603,234260,197960
27,7.0.0.93,49153,1.0.0.2,9,6.168,10.83,4.66203,1035.3,940.623,940.623,22.3185,3.81542,4.2841,95.7159,887,849,603328,548152
29,7.0.0.50,49153,1.0.0.2,9,6.186,11.0041,4.81806,1215.04,1215.04,1215.04,21.3537,1.01781,0,100,957,957,731768,731768
31,7.0.0.113,49153,1.0.0.2,9,11.039,16.0041,4.96506,1179.58,1179.58,1179.58,21.206,0.625915,0,100,965,965,732084,732084
33,7.0.0.51,49153,1.0.0.2,9,11.07,16.0041,4.93406,1188.17,1188.17,1188.17,30.4317,1.43576,0,100,979,979,732812,732812
35,7.0.0.37,49153,1.0.0.2,9,11.14,15.6921,4.55207,85.5242,59.6406,59.6406,11.6739,3.72669,2.77228,97.2277,505,491,48664,33936
36,7.0.0.22,49153,1.0.0.2,9,11.142,16.1716,5.02957,1169.79,1169.79,1169.79,22.0521,1.42512,0,100,1045,1045,735440,735440
39,7.0.0.38,49153,1.0.0.2,9,11.162,15.6871,4.52507,98.7777,67.146,67.146,23.9478,5.17238,4.12574,95.8743,509,488,55872,37980
41,7.0.0.53,49153,1.0.0.2,9,11.182,16.2631,5.08107,1137.39,1066.52,1066.52,48.3661,1.89535,3.19917,96.8008,969,938,722392,677380
43,7.0.0.18,49153,1.0.0.2,9,16.018,21.0061,4.98806,1179.96,1175.3,1175.3,28.6789,1.26962,0.203874,99.7961,981,979,735716,732812
45,7.0.0.130,49153,1.0.0.2,9,16.065,21.004,4.93903,1245.77,1186.97,1186.97,38.5436,2.09974,2.49004,97.51,1004,979,769112,732812
47,7.0.0.121,49153,1.0.0.2,9,16.098,20.2956,4.19757,95.5144,59.4402,59.4402,7.86747,2.17084,2.7668,97.2332,506,492,50116,31188
49,7.0.0.62,49153,1.0.0.2,9,16.136,21.0391,4.90307,221.55,169.089,169.089,16.7929,3.8944,4.60177,95.3982,565,539,135784,103632
51,7.0.0.88,49154,1.0.0.2,9,16.178,21.004,4.82603,1277.35,1214.77,1214.77,38.9031,2.18515,2.58706,97.4129,1005,979,770564,732812
52,7.0.0.59,49153,1.0.0.2,9,16.187,21.0096,4.82257,463.707,359.961,359.961,27.866,2.91176,6.77711,93.2229,664,619,279532,216992
55,7.0.0.143,49153,1.0.0.2,9,21.011,29.6741,8.66306,731.998,675.441,675.441,15.5137,3.95148,4.7,95.3,1000,953,792668,731424
57,7.0.0.147,49153,1.0.0.2,9,21.043,23.225,2.18203,179.473,91.7165,91.7165,4.77749,0.682735,5.87084,94.1292,511,481,48952,25016
58,7.0.0.109,49153,1.0.0.2,9,21.052,26.0041,4.95206,1184.09,1184.09,1184.09,22.9692,0.86835,0,100,980,980,732964,732964
59,7.0.0.41,49154,1.0.0.2,9,21.053,0,0,0,0,0,0,0,100,0,3,0,164,0
60,7.0.0.122,49153,1.0.0.2,9,21.056,25.6016,4.54557,719.4,594.182,594.182,22.9704,1.61311,6.5073,93.4927,753,704,408760,337612
64,7.0.0.73,49153,1.0.0.2,9,21.157,26.0041,4.84706,1231.06,1209.49,1209.49,15.8056,1.46464,0.910931,99.0891,988,979,745880,732812
66,7.0.0.125,49153,1.0.0.2,9,26.017,36.8231,10.8061,596.347,542.484,542.484,20.7664,4.63033,5.13566,94.8643,1032,979,805520,732764
67,7.0.0.92,49153,1.0.0.2,9,26.02,31.004,4.98403,1176.26,1176.26,1176.26,24.5417,0.815582,0,100,979,979,732812,732812
70,7.0.0.137,49153,1.0.0.2,9,26.056,38.0001,11.9441,527.019,490.931,490.931,14.0752,3.58973,3.90625,96.0938,1024,984,786844,732964
72,7.0.0.47,49153,1.0.0.2,9,26.095,31.004,4.90903,1194.23,1194.23,1194.23,14.532,0.829613,0,100,979,979,732812,732812
74,7.0.0.111,49153,1.0.0.2,9,26.145,31.0212,4.87617,1202.67,1202.67,1202.67,17.8031,0.465697,0,100,982,982,733056,733056
76,7.0.0.42,49153,1.0.0.2,9,26.165,30.6771,4.51207,115.332,80.9421,80.9421,20.4078,4.84724,4.62777,95.3722,497,474,65048,45652
78,7.0.0.97,49153,1.0.0.2,9,31.027,36.0041,4.97706,1176.56,1176.56,1176.56,22.9274,0.832872,0,100,961,961,731976,731976
80,7.0.0.98,49153,1.0.0.2,9,31.078,36.0041,4.92606,1190.09,1190.09,1190.09,17.4347,1.28172,0,100,977,977,732808,732808
82,7.0.0.62,49154,1.0.0.2,9,31.131,36.0011,4.87007,556.976,468.725,468.725,23.511,4.43272,5.24823,94.7518,705,668,339064,285340
83,7.0.0.41,49155,1.0.0.2,9,31.135,0,0,0,0,0,0,0,100,0,3,0,164,0
