round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,1,6,5,1.0.0.2,3937.16,3803.45,3803.45,26.5795,2.77018,10.0385,89.9615,4672,4203,2460727,2377158
1,1,6,5,5.0.0.2,39409.8,5535.11,5535.11,10.8205,1.49144,85.9528,14.0472,23414,3289,24631095,3459444
2,6,11,5,1.0.0.2,3786.19,3473.09,3473.09,19.5514,3.03973,24.6445,75.3555,4642,3498,2366371,2170683
2,6,11,5,5.0.0.2,39537.7,5556.07,5556.07,10.82,1.491,85.9478,14.0522,23491,3301,24711043,3472541
3,11,16,5,1.0.0.2,4936.96,4806.58,4806.58,27.2227,2.00354,1.36796,98.632,5044,4975,3085599,3004110
3,11,16,5,5.0.0.2,39537.7,5556.07,5556.07,10.82,1.491,85.9478,14.0522,23491,3301,24711043,3472541
4,16,21,5,1.0.0.2,4481.14,4173.2,4173.2,29.3702,2.25773,2.87261,97.1274,4804,4666,2800713,2608252
4,16,21,5,5.0.0.2,9739.88,4656.32,4656.32,7.99194,0.789994,52.2115,47.7885,5788,2766,6087428,2910198
5,21,26,5,1.0.0.2,3833,3602.83,3602.83,17.6098,1.60857,3.04063,96.9594,3815,3699,2395623,2251767
5,21,26,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
6,26,31,5,1.0.0.2,5270.24,5108.27,5108.27,18.5598,2.03763,1.78684,98.2132,4757,4672,3293902,3192668
6,26,31,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
7,31,36,5,1.0.0.2,6026.56,5687.09,5687.09,21.448,2.33227,3.13667,96.8633,5356,5188,3766603,3554430
7,31,36,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
8,36,41,5,1.0.0.2,4875.2,4752.93,4752.93,22.3802,2.00782,11.4682,88.5318,4761,4215,3046997,2970581
8,36,41,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
9,41,46,5,1.0.0.2,6351.47,6292.95,6292.95,24.0267,1.5344,0.47813,99.5219,5647,5620,3969670,3933093
9,41,46,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
10,46,51,5,1.0.0.2,6487.31,6372.61,6372.61,23.1045,1.79214,0.884157,99.1158,5542,5493,4054567,3982883
10,46,51,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
11,51,56,5,1.0.0.2,4667.21,4480.28,4480.28,25.7283,1.61972,1.721,98.279,4939,4854,2917006,2800177
11,51,56,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
12,56,61,5,1.0.0.2,5009.73,4862.2,4862.2,25.0336,1.51995,1.38193,98.6181,4993,4924,3131079,3038877
12,56,61,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
13,61,66,5,1.0.0.2,3659.07,3504.54,3504.54,15.226,1.68914,12.5755,87.4245,3642,3184,2286918,2190339
13,61,66,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
14,66,71,5,1.0.0.2,2919.2,2765.86,2765.86,15.2396,1.68794,16.5787,83.4213,3221,2687,1824502,1728661
14,66,71,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
15,71,76,5,1.0.0.2,5874.91,5591.46,5591.46,28.4367,2.28964,2.49438,97.5056,4891,4769,3671817,3494662
15,71,76,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
16,76,81,5,1.0.0.2,4315.02,4160.2,4160.2,23.1094,1.85871,10.6861,89.3139,4810,4296,2696886,2600123
16,76,81,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
17,81,86,5,1.0.0.2,7005.54,6898.31,6898.31,21.7125,1.79681,0.83518,99.1648,5867,5818,4378465,4311444
17,81,86,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
18,86,91,5,1.0.0.2,4369.86,4278.82,4278.82,15.9409,1.44431,1.01729,98.9827,3932,3892,2731163,2674260
18,86,91,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
19,91,96,5,1.0.0.2,2842.67,2520.95,2520.95,21.5184,2.80867,27.1068,72.8932,4877,3555,1776667,1575595
19,91,96,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
20,96,101,5,1.0.0.2,4417.68,4269.48,4269.48,15.8234,1.86851,1.37351,98.6265,4878,4811,2761048,2668423
20,96,101,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
21,101,106,5,1.0.0.2,5710.65,5251.53,5251.53,32.2108,2.53181,4.15449,95.8455,4790,4591,3569154,3282207
21,101,106,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
22,106,111,5,1.0.0.2,2883.78,2662.56,2662.56,13.1857,1.8625,22.0565,77.9435,3822,2979,1802364,1664103
22,106,111,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
23,111,116,5,1.0.0.2,3881.82,3819.98,3819.98,16.5136,1.54823,12.7499,87.2501,3851,3360,2426141,2387489
23,111,116,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
