round,count
1,3920
2,3691
3,3433
4,4814
5,5226
6,6041
7,6039
8,2479
9,5877
10,5022
11,3515
12,4952
13,1560
14,3681
15,2926
16,5114
17,4754
18,5181
19,4069
20,4391
21,3143
22,3298
23,4330
24,4953
25,2919
26,4680
27,3253
28,5767
29,3901
30,2336
31,3090
32,3952
33,4775
34,3152
35,3193
36,2934
37,5030
38,2302
39,3162
40,4940
41,4207
42,2280
43,2198
44,4791
45,2256
46,3908
47,2526
48,1932
49,3474
50,2627
51,4097
52,3592
53,3977
54,5130
55,3247
56,1238
57,5682
58,5738
59,2548
60,2431
61,3526
62,2409
63,4095
64,6911
65,5198
66,4997
67,5738
68,3880
69,5257
70,530
71,2938
72,2629
73,4632
74,1891
75,3772
76,2795
77,2806
78,2092
79,5174
80,2354
81,1415
82,2435
83,3474
84,2436
85,4042
86,2917
87,3588
88,3125
89,3434
90,2908
91,4286
92,2511
93,2337
94,5172
95,3373
96,5505
97,3588
98,3286
99,3600
100,2977
