round,ndi0_count,ndi1_count
1,302,3589
2,94,2284
3,525,4463
4,571,4795
5,455,5323
6,262,5339
7,440,9193
8,566,3898
9,370,6905
10,512,4216
11,512,4997
12,621,7145
13,503,3171
14,432,3997
15,557,3615
16,603,6537
17,559,5497
18,265,6170
19,358,4794
20,428,5343
21,310,2986
22,274,3693
23,267,3847
24,319,6283
25,571,4157
26,334,5315
27,549,3449
28,205,8276
29,266,3330
30,584,5195
31,130,2832
32,433,4043
33,397,4490
34,357,3098
35,103,3242
36,346,1882
37,347,4653
38,122,1616
39,264,4418
40,6,4811
41,471,5866
42,526,3985
43,109,3012
44,362,5424
45,253,3398
46,169,2012
47,29,1656
48,283,2749
49,380,4871
50,424,4250
51,488,3962
52,464,3502
53,586,5365
54,398,7161
55,489,5451
56,338,1368
57,452,4858
58,236,6405
59,172,2798
60,496,4052
61,405,6362
62,270,2684
63,207,2715
64,431,7037
65,540,8379
66,388,5296
67,126,5930
68,174,4189
69,117,7077
70,183,1629
71,325,4894
72,401,3512
73,394,4727
74,136,1692
75,442,3621
76,417,2783
77,263,1722
78,344,2588
79,599,7720
80,365,2930
81,216,2643
82,310,3119
83,262,2431
84,85,2781
85,539,4276
86,362,4186
87,385,3049
88,231,2956
89,275,7318
90,154,3981
91,263,5149
92,383,1518
93,189,1558
94,72,4660
95,170,4318
96,403,7884
97,288,5191
98,283,4178
99,201,4446
100,281,2961
