round,ids
1,14;76
2,19;111;87;34
3,140;12;128;91;118;110
4,34;6;27;101
5,94;44;145
6,142;70;120;102
7,50;113;87;121
8,19;33;16;124
9,111;48;15
10,139;14;43
11,137;34;49;13;22
12,145;27;81;147;107;4
13,13;67;75;64;130;104
14,44;43
15,8;116;68;48
16,67;129;10;141
17,107;74;18;149;53
18,70;45;72
19,8;78
20,15;124;48
21,76;68;60
22,55;9
23,51;7;128;48
24,66;19;148
25,116;134
26,121;20;61;79;143
27,17;111;121;88
28,18;14;129;34;123;69
29,84;88;63
30,144;49;6;124;45;26
31,49;115;62;143;31
32,131;8;145
33,44;131;11
34,4;118;76;53;89;47
35,147;68;10;50;148
36,85;64;130
37,3;12;137;4
38,96;116;3;91
39,109;5;126;43
40,147;63;100
41,144;18;107;109
42,148;63;149;62
43,3;44;55;94
44,140;129;112;28;102;73
45,78
46,129;127;38;62
47,48;16;96;87;53;98
48,83;111;26;102
49,82;23;13;147;123
50,9;130;20;128
51,122;57;66;19
52,13;83;70;26;9
53,75;135;72;102;137
54,44;13;21;53
55,91;124;33;19
56,89;125;51;107;102;124
57,150;89;124
58,46;107;105;66
59,101;27;12;8;126
60,150;51;67;102
61,7;27;144;109
62,75;33;51;88;82
63,140;66;105;3;130;7
64,6;134;60;56
65,142;66;130
66,51;14;15
67,21;42;91;44
68,13;68;121;144;66;112
69,130;66;89;18
70,143;122;75;89;110
71,127;46;128
72,46;94;9;64;6
73,71;95;126
74,122;63;147;8
75,69;81;19;78
76,121;149;17;94
77,20;144;64;105
78,46;20;60;7
79,96;83;62
80,96;129;50
81,66;9
82,33;143
83,140;44;71;107;77
84,140;70;92;115
85,56;50;61;102
86,143;44
87,44;13;68;7
88,118;98
89,16;64;7
90,142;147;115;102
91,112;148;71;72;60
92,34;72;81;19;84;36
93,6;149;83;130;91;57
94,19;33
95,33;49;84;134
96,20;42;53
97,8;113;75;93
98,122;140;13;34;47
99,128;83;26;61
100,50;131;18;148
