node_id,ue_idx,rnti,distance_m
0,1,1,135.888451
1,2,2,95.631763
2,3,3,65.281664
3,4,310,65.552778
4,5,311,82.594237
5,6,312,52.551046
6,7,313,57.990628
7,8,606,76.189789
8,9,607,91.708329
9,10,608,91.313681
10,11,609,143.170194
11,12,1024,62.373919
12,13,1025,87.828844
13,14,1026,132.480815
14,15,1287,152.313292
15,16,1288,164.157840
16,17,1289,109.576820
17,18,1290,62.475041
18,19,1535,102.192692
19,20,1536,68.598140
20,21,1537,146.749319
21,22,1538,154.734821
22,23,1654,100.217659
23,24,1655,151.751461
24,25,1656,118.066786
25,26,1881,59.847122
26,27,1882,79.651636
27,28,1883,155.764513
28,29,749,167.167628
29,30,750,136.616044
30,31,751,123.889882
31,32,2096,121.916306
32,33,2097,58.189894
33,34,2098,53.222114
34,35,2202,122.750406
35,36,2299,131.287301
36,37,2300,146.176177
37,38,2301,161.354544
38,39,2395,112.301922
39,40,2396,133.989226
40,41,2397,149.517837
41,42,2398,53.708846
42,43,2577,138.965610
43,44,2578,54.106100
44,45,2579,70.508742
45,46,1769,60.044137
46,47,1770,104.790215
47,48,1771,145.064558
48,49,2663,79.238545
49,50,2664,84.622367
50,51,2665,61.576316
51,52,2826,91.877209
52,53,2827,165.617351
53,54,2828,130.517150
54,55,2903,109.368807
55,56,2904,82.541853
56,57,2905,119.272592
57,58,2977,103.043187
58,59,460,166.455175
59,60,461,72.742436
60,61,462,87.627912
61,62,2978,73.174157
62,63,2979,99.665920
63,64,3116,108.520970
64,65,3117,102.699794
65,66,3118,65.082055
66,67,3181,144.178093
67,68,3182,82.416770
68,69,3183,133.035351
69,70,3184,57.333403
70,71,3243,64.277221
71,72,3244,57.055559
72,73,3245,150.171717
73,74,3246,150.370460
74,75,3355,83.343877
75,76,3356,71.216293
76,77,3048,134.364505
77,78,3049,123.555134
78,79,3050,124.498461
79,80,3357,85.080174
80,81,3405,63.704907
81,82,3406,134.155995
82,83,3407,60.729505
83,84,3452,97.697383
84,85,3453,118.375173
85,86,3454,155.898085
86,87,3496,71.216608
87,88,3497,134.567888
88,89,1990,116.026071
89,90,1991,101.532088
90,91,1992,77.773738
91,92,3498,96.201181
92,93,3575,96.731159
93,94,3576,87.268672
94,95,3577,129.640277
95,96,3301,60.134626
96,97,3302,128.474602
97,98,3303,142.367194
98,99,3304,146.926718
99,100,3578,72.760372
100,101,3610,70.516390
101,102,3611,122.936838
102,103,157,136.593115
103,104,158,104.519549
104,105,159,147.229617
105,106,3612,143.535815
106,107,3641,96.771818
107,108,3642,111.399458
108,109,3643,110.670030
109,110,3644,89.599931
110,111,3669,71.015837
111,112,3670,86.733384
112,113,3671,116.520836
113,114,3672,114.556104
114,115,3693,91.324549
115,116,3694,58.082865
116,117,3695,116.593233
117,118,2488,135.768762
118,119,2489,166.211513
119,120,2490,142.306433
120,121,3713,73.909212
121,122,3714,79.692319
122,123,3715,122.123014
123,124,2746,85.594167
124,125,2747,75.036879
125,126,2748,149.873214
126,127,3716,101.996922
127,128,3730,56.013340
128,129,3731,94.782974
129,130,3732,62.150084
130,131,3743,56.698918
131,132,3744,122.751956
132,133,3745,116.404584
133,134,3746,55.125306
134,135,3753,82.059024
135,136,3754,138.575571
136,137,3755,73.669578
137,138,3756,114.253611
138,139,3759,61.258666
139,140,3537,146.209041
140,141,3538,95.774411
141,142,3539,133.165626
142,143,1157,62.920412
143,144,1158,75.592925
144,145,1159,85.221672
145,146,1160,123.011626
146,147,3760,69.051402
147,148,2199,71.419449
148,149,2200,68.998818
149,150,1413,87.314218
