round,avg_ul_mcs
1,27.6073
2,27.5427
3,27.5738
4,27.6408
5,27.0218
6,27.5785
7,27.5314
8,27.5382
9,27.6646
10,26.7345
11,27.6863
12,27.7972
13,27.555
14,25.0649
15,27.263
16,27.5928
17,27.5803
18,27.8288
19,26.789
20,27.2962
21,27.5109
22,27.688
23,27.546
24,27.6686
25,26.6546
26,27.1297
27,26.7327
28,27.1939
29,27.7022
30,27.8584
31,27.067
32,27.381
33,27.1268
34,27.6328
35,27.7137
36,26.9967
37,27.5898
38,27.2773
39,27.3408
40,27.2079
41,27.4589
42,27.7828
43,27.673
44,27.5601
45,27.248
46,27.1027
47,27.0612
48,27.5653
49,27.301
50,27.6925
51,27.6868
52,27.7758
53,27.7736
54,27.1738
55,27.8324
56,27.6474
57,27.1937
58,27.5988
59,27.6518
60,27.6602
61,27.2256
62,27.7042
63,27.7634
64,27.3392
65,27.5801
66,27.3886
67,27.7108
68,27.7786
69,27.7913
70,27.5375
71,27.4663
72,27.8426
73,27.6526
74,27.3165
75,27.2838
76,27.7252
77,27.8142
78,27.7935
79,27.3718
80,27.8023
81,27.4538
82,27.5042
83,27.5888
84,27.4231
85,27.4544
86,27.4355
87,27.7509
88,27.6774
89,26.8819
90,27.3755
91,27.5711
92,27.5373
93,27.8097
94,27.1859
95,26.876
96,27.693
97,27.6168
98,27.7164
99,27.2772
100,27.2795
