round,total_numsym
1,57953
2,80701
3,121111
4,86444
5,56036
6,96753
7,95945
8,110386
9,39237
10,53445
11,79757
12,139112
13,102860
14,49080
15,68105
16,93009
17,56833
18,58353
19,44021
20,27291
21,79524
22,72937
23,80188
24,31502
25,45081
26,79173
27,65967
28,97581
29,38481
30,82791
31,72856
32,74202
33,25093
34,78698
35,86738
36,69173
37,86801
38,51149
39,51450
40,82716
41,77161
42,73785
43,31155
44,78125
45,34114
46,57787
47,123368
48,61380
49,45844
50,62341
51,75821
52,108239
53,69948
54,62965
55,57339
56,77944
57,37555
58,78534
59,68699
60,81663
61,64850
62,45779
63,67973
64,71215
65,36240
66,13452
67,34307
68,79735
69,46908
70,58317
71,38317
72,90741
73,54931
74,70003
75,67035
76,36672
77,80842
78,64817
79,41458
80,58438
81,18092
82,26354
83,66891
84,87646
85,25811
86,50128
87,38043
88,40066
89,49471
90,52200
91,76455
92,106956
93,104826
94,45852
95,84479
96,28047
97,53566
98,60068
99,54296
100,71145
