round,avg_ul_mcs
1,27.6758
2,27.2631
3,26.7323
4,26.82
5,27.0562
6,27.1797
7,27.45
8,27.6904
9,26.9939
10,27.1184
11,26.4419
12,27.0071
13,27.554
14,27.6282
15,27.2548
16,27.6424
17,27.5801
18,27.7653
19,26.7478
20,27.543
21,26.7437
22,27.7291
23,27.8778
24,26.6774
25,27.5176
26,27.4892
27,26.4045
28,27.6287
29,27.3678
30,27.6897
31,27.3996
32,26.6633
33,27.5487
34,27.2168
35,27.5073
36,27.4571
37,27.3079
38,27.6028
39,27.5203
40,27.5498
41,27.6816
42,27.6548
43,27.8833
44,27.4779
45,27.7402
46,26.9666
47,27.8234
48,27.4457
49,27.7964
50,27.7676
51,27.7799
52,27.3166
53,25.8444
54,27.4993
55,27.1658
56,27.4125
57,26.4444
58,27.5287
59,26.9577
60,27.1099
61,27.855
62,27.7393
63,24.2567
64,27.4818
65,27.0126
66,27.8052
67,27.504
68,26.7967
69,27.3998
70,27.7621
71,27.8131
72,27.8375
73,27.6704
74,27.6957
75,26.2921
76,27.4579
77,27.0312
78,27.6317
79,27.2498
80,27.0845
81,27.4259
82,26.7361
83,27.5311
84,27.6236
85,27.031
86,27.559
87,27.2363
88,27.6962
89,26.6267
90,27.7031
91,27.5758
92,27.5595
93,27.3289
94,27.5954
95,27.1792
96,26.9397
97,27.0918
98,27.4832
99,27.6738
100,27.7321
