round,start_sim,end_sim,duration_sim,start_wall,end_wall,duration_wall
1,1,6,5,07:07:10,07:15:08,477.808
2,6,11,5,07:15:08,07:23:12,483.964
3,11,16,5,07:23:12,07:30:10,418.428
4,16,21,5,07:30:10,07:37:54,464.064
5,21,26,5,07:37:54,07:44:58,423.46
6,26,31,5,07:44:58,07:52:15,436.994
7,31,36,5,07:52:15,07:59:30,435.07
8,36,41,5,07:59:30,08:06:38,427.814
9,41,46,5,08:06:38,08:13:59,441.388
10,46,51,5,08:13:59,08:20:48,409.214
11,51,56,5,08:20:48,08:27:40,411.616
12,56,61,5,08:27:40,08:35:03,442.873
13,61,66,5,08:35:03,08:42:44,460.625
14,66,71,5,08:42:44,08:50:08,444.196
15,71,76,5,08:50:08,08:58:01,473.476
16,76,81,5,08:58:01,09:05:10,428.294
17,81,86,5,09:05:10,09:12:53,463.737
18,86,91,5,09:12:53,09:20:34,460.565
19,91,96,5,09:20:34,09:27:04,390.45
20,96,101,5,09:27:04,09:34:10,425.946
21,101,106,5,09:34:10,09:40:52,402.122
22,106,111,5,09:40:52,09:48:30,457.56
23,111,116,5,09:48:30,09:55:41,430.882
24,116,121,5,09:55:41,10:01:59,378.338
25,121,126,5,10:01:59,10:09:11,432.177
26,126,131,5,10:09:11,10:16:51,459.515
27,131,136,5,10:16:51,10:23:41,410.351
28,136,141,5,10:23:41,10:31:06,444.505
29,141,146,5,10:31:06,10:37:49,402.916
30,146,151,5,10:37:49,10:45:14,445.83
31,151,156,5,10:45:14,10:52:09,414.555
32,156,161,5,10:52:09,10:58:40,391.389
33,161,166,5,10:58:40,11:05:23,402.235
34,166,171,5,11:05:23,11:12:17,414.385
35,171,176,5,11:12:17,11:19:39,441.554
36,176,181,5,11:19:39,11:27:12,453.619
37,181,186,5,11:27:12,11:34:25,433.084
38,186,191,5,11:34:25,11:41:16,410.434
39,191,196,5,11:41:16,11:47:58,402
40,196,201,5,11:47:58,11:53:52,354.586
41,201,206,5,11:53:52,12:00:54,421.308
42,206,211,5,12:00:54,12:07:34,400.345
43,211,216,5,12:07:34,12:14:54,440.042
44,216,221,5,12:14:54,12:21:53,419.081
45,221,226,5,12:21:53,12:28:24,391.235
46,226,231,5,12:28:24,12:34:27,362.487
47,231,236,5,12:34:27,12:40:50,383.21
48,236,241,5,12:40:50,12:46:49,359.037
49,241,246,5,12:46:49,12:53:11,381.98
50,246,251,5,12:53:11,13:00:27,435.801
51,251,256,5,13:00:27,13:06:55,388.29
52,256,261,5,13:06:55,13:13:19,384.221
53,261,266,5,13:13:19,13:18:56,336.647
54,266,271,5,13:18:56,13:25:48,412.304
55,271,276,5,13:25:48,13:32:02,373.51
56,276,281,5,13:32:02,13:38:32,390.071
57,281,286,5,13:38:32,13:44:45,373.113
58,286,291,5,13:44:45,13:50:33,347.985
59,291,296,5,13:50:33,13:57:37,424.089
60,296,301,5,13:57:37,14:04:30,412.774
61,301,306,5,14:04:30,14:11:58,448.304
62,306,311,5,14:11:58,14:18:24,385.577
63,311,316,5,14:18:24,14:24:21,357.677
64,316,321,5,14:24:21,14:30:46,384.95
65,321,326,5,14:30:46,14:36:42,355.308
66,326,331,5,14:36:42,14:43:19,397.233
67,331,336,5,14:43:19,14:49:33,374.357
68,336,341,5,14:49:33,14:55:40,366.646
69,341,346,5,14:55:40,15:01:38,358.452
70,346,351,5,15:01:38,15:08:16,397.46
71,351,356,5,15:08:16,15:15:35,438.821
72,356,361,5,15:15:35,15:21:54,379.13
73,361,366,5,15:21:54,15:28:19,385.625
74,366,371,5,15:28:19,15:34:43,383.552
75,371,376,5,15:34:43,15:40:30,347.132
76,376,381,5,15:40:30,15:46:40,370.025
77,381,386,5,15:46:40,15:53:25,405.171
78,386,391,5,15:53:25,16:00:06,400.583
79,391,396,5,16:00:06,16:05:47,340.734
80,396,401,5,16:05:47,16:12:02,375.506
81,401,406,5,16:12:02,16:19:28,445.922
82,406,411,5,16:19:28,16:25:38,370.335
83,411,416,5,16:25:38,16:31:37,358.878
84,416,421,5,16:31:37,16:38:37,419.954
85,421,426,5,16:38:37,16:44:52,374.518
86,426,431,5,16:44:52,16:51:20,388.436
87,431,436,5,16:51:20,16:57:25,364.443
88,436,441,5,16:57:25,17:03:23,358.586
89,441,446,5,17:03:23,17:09:46,382.511
90,446,451,5,17:09:46,17:16:25,399.382
91,451,456,5,17:16:25,17:22:21,355.634
92,456,461,5,17:22:21,17:28:17,356.633
93,461,466,5,17:28:17,17:34:11,353.177
94,466,471,5,17:34:11,17:40:55,404.551
95,471,476,5,17:40:55,17:46:30,334.708
96,476,481,5,17:46:30,17:52:32,362.079
97,481,486,5,17:52:32,17:58:16,343.854
98,486,491,5,17:58:16,18:04:35,378.793
99,491,496,5,18:04:35,18:10:25,349.897
100,496,501,5,18:10:25,18:17:06,401.117
