round,avg_ul_mcs
1,27.5207
2,27.4637
3,27.3102
4,26.8175
5,27.4489
6,26.9809
7,27.481
8,27.5226
9,26.8987
10,27.1165
11,26.2481
12,27.087
13,27.62
14,27.6029
15,27.1817
16,27.6389
17,27.6754
18,27.6869
19,27.0041
20,27.3856
21,27.5284
22,27.64
23,27.7635
24,27.2187
25,27.7153
26,27.5289
27,26.1198
28,27.6475
29,27.366
30,27.6984
31,27.3649
32,26.6756
33,27.7338
34,26.746
35,27.6962
36,27.4875
37,26.7657
38,27.1358
39,27.6739
40,27.7342
41,27.6256
42,27.3979
43,27.7342
44,27.6085
45,27.68
46,26.5431
47,27.7736
48,27.5072
49,27.5593
50,27.4244
51,27.0987
52,26.7489
53,26.7006
54,27.6182
55,27.41
56,27.5464
57,27.0474
58,27.3993
59,26.838
60,26.7204
61,27.8607
62,27.7694
63,26.4974
64,26.9319
65,27.036
66,27.7947
67,27.2955
68,27.1628
69,26.9256
70,27.6794
71,27.2625
72,27.8841
73,27.7378
74,27.5934
75,27.1283
76,27.3503
77,27.1208
78,27.6747
79,27.0294
80,27.6409
81,27.6067
82,27.3345
83,27.5361
84,27.3158
85,26.763
86,27.4786
87,27.3231
88,27.4358
89,26.7177
90,27.5674
91,27.5544
92,27.6384
93,27.5576
94,27.5636
95,27.3339
96,26.616
97,26.3981
98,27.6246
99,27.6
100,27.7173
