round,ids
1,6;139;130;83;127
2,12
3,107;79;42
4,84;150
5,72;134
6,66;149;127;43
7,148;33
8,128;34;64;110
9,96;150;39
10,126;87;51
11,20;35;148
12,128;27;138;13
13,124;87;64;33
14,150;49;117
15,18;79;64;3
16,44;8;70;6
17,149;81;18;99;56
18,123;58;18
19,80
20,70;13;104
21,126;46;138
22,102;101
23,81;149;148
24,149;123
25,42;97
26,96;149;87
27,58;40
28,52;104;85
29,81;84;87;144
30,13;104;85;143;130;90
31,72;141;42;49
32,93;112;56
33,141;131;126
34,27;90;137
35,85;125;12;146
36,79;126;19
37,149;128;75
38,107;130;52;104;146
39,149;52;150
40,52
41,115;128;101
42,49;20;124
43,79;62;52;102
44,79;60
45,100;62;75;33
46,144;129;74
48,18;4;66;134;1;110
49,81;141;147
50,27;91;6
51,90;27;150;30
52,116;39;141;56
53,33;7;47
54,83;125;87;45
55,39;49;85;3;56
56,134;44;3;94
57,39;127;12
58,27;150;120;18
59,62;44;6;70
60,6;138;13;74
61,134;129;79;148
62,79;133;46
63,127;91;116;115
64,64;141;74
65,20;70;45;66;138
66,131;144
67,145;134;149
68,76;39
69,30;99;56
70,83;91;128;51
71,30;134;44;50
72,30;83;39
73,42;115;137;46
74,42;138;110;145
75,128
76,104;96;126;74
77,74
78,28
79,1;116;27;20;137
80,127;64;129;22
81,44;1;120;56
82,51;129
83,128;7;144;40
84,108;45;39;100
85,12;128;50
86,70;128;134;145
87,84;39;126;19
88,129;91;112;143;18
89,125;76
90,129;137;50
91,75
92,27;81;34;49
93,112;134;19
94,116;39;28
95,134;72;84
96,126;79;100
97,84;6;92
99,1;130;87
100,62;128;56
