round,ndi0_count,ndi1_count
1,83,6914
2,72,984
3,388,4686
4,217,2253
5,377,3028
6,368,6312
7,420,4399
8,240,3618
9,225,2990
10,745,4155
11,682,3651
12,373,6552
13,746,8136
14,267,2201
15,167,3885
16,218,4521
17,387,4896
18,295,4478
19,263,1254
20,346,4019
21,681,5989
22,347,3054
23,143,1920
24,88,1373
25,226,1787
26,259,2980
27,582,2484
28,75,1892
29,160,3339
30,165,6613
31,111,3561
32,179,2596
33,289,3508
34,202,2615
35,184,3508
36,311,2343
37,46,2326
38,373,6391
39,158,2718
40,196,1461
41,379,3075
42,263,2188
43,104,3488
44,272,2098
45,556,5866
46,279,2828
47,55,160
48,228,6149
49,287,3948
50,4,2273
51,104,3569
52,199,3292
53,195,2157
54,289,4819
55,247,4309
56,199,4168
57,41,2289
58,102,3936
59,122,4012
60,260,4650
61,323,3954
62,246,2432
63,88,3506
64,307,3383
65,135,6432
66,64,1438
67,171,2538
68,67,1137
69,170,1778
70,21,3798
71,282,3800
72,80,2191
73,284,3221
74,386,3318
75,1,484
76,485,5173
77,482,2533
78,224,1133
79,765,8030
80,289,2989
81,265,3379
82,80,1239
83,247,4117
84,154,3297
85,178,2096
86,179,2727
87,348,4094
88,13,5376
89,18,967
90,256,2990
91,25,487
92,277,4092
93,385,3387
94,425,4031
95,164,2649
96,425,3061
97,342,3215
98,51,191
99,62,2321
100,252,2483
