round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,1,6,5,1.0.0.2,243.545,242.689,242.689,6.62222,0.931771,0.342818,99.6572,2917,2907,152216,151681
1,1,6,5,5.0.0.2,88760.7,5455.93,5455.93,15.1989,2.68419,93.8503,6.14973,52734,3243,55475452,3409959
2,6,11,5,1.0.0.2,1606.14,1390.89,1390.89,23.6051,3.44601,41.4348,58.5652,4098,2400,1003837,869308
2,6,11,5,5.0.0.2,89078.3,5478.94,5478.94,15.2021,2.68415,93.8494,6.15056,52922,3255,55673960,3424334
3,11,16,5,1.0.0.2,3680.18,3519.47,3519.47,19.4025,1.77099,34.3191,65.6809,4531,2976,2300112,2199669
3,11,16,5,5.0.0.2,50457.8,4678.4,4678.4,13.4401,2.13331,90.7296,9.27044,29977,2779,31536131,2923999
4,16,21,5,1.0.0.2,3704.54,3521.17,3521.17,16.6825,1.72373,22.908,77.092,4828,3722,2315335,2200730
4,16,21,5,5.0.0.2,42991.5,4523.63,4523.63,13.0274,2.00349,89.4797,10.5203,25541,2687,26869659,2827271
5,21,26,5,1.0.0.2,3494.92,3288.04,3288.04,22.6176,2.68648,14.4786,85.5214,4517,3863,2184326,2055027
5,21,26,5,5.0.0.2,37670.7,4273.71,4273.71,12.507,1.85802,88.655,11.345,22380,2539,23544182,2671072
6,26,31,5,1.0.0.2,6097.93,5975.88,5975.88,24.6031,1.52758,0.98568,99.0143,5377,5324,3811206,3734922
6,26,31,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
7,31,36,5,1.0.0.2,4578.22,4349.56,4349.56,15.9516,1.84445,2.29258,97.7074,4580,4475,2861386,2718475
7,31,36,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
8,36,41,5,1.0.0.2,5023.39,4886.48,4886.48,16.8427,1.72644,1.24709,98.7529,4731,4672,3139620,3054051
8,36,41,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
9,41,46,5,1.0.0.2,5052.78,4988.27,4988.27,17.868,1.31073,0.659341,99.3407,4550,4520,3157989,3117668
9,41,46,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
10,46,51,5,1.0.0.2,4371.61,4178.2,4178.2,12.6215,1.89281,11.9048,88.0952,4830,4255,2732254,2611374
10,46,51,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
11,51,56,5,1.0.0.2,2832.53,2607.32,2607.32,15.0558,2.35841,37.1339,62.8661,4166,2619,1770329,1629578
11,51,56,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
12,56,61,5,1.0.0.2,4992.02,4903.93,4903.93,23.2597,1.43072,10.0717,89.9283,5163,4643,3120015,3064954
12,56,61,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
13,61,66,5,1.0.0.2,6226.71,6026.78,6026.78,25.5008,1.70445,1.63934,98.3607,5429,5340,3891695,3766738
13,61,66,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
14,66,71,5,1.0.0.2,4476.13,4296.77,4296.77,14.6712,2.2591,1.95049,98.0495,3999,3921,2797583,2685484
14,66,71,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
15,71,76,5,1.0.0.2,4740.59,4525.09,4525.09,18.1777,1.47559,16.6427,83.3573,5558,4633,2962867,2828183
15,71,76,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
16,76,81,5,1.0.0.2,4724.92,4723.51,4723.51,22.4794,1.0617,0.391795,99.6082,4339,4322,2953076,2952196
16,76,81,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
17,81,86,5,1.0.0.2,5988.16,5851.21,5851.21,33.1082,1.71645,1.22585,98.7742,4813,4754,3742598,3657008
17,81,86,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
18,86,91,5,1.0.0.2,3504.56,3325.81,3325.81,21.8671,1.72695,31.724,68.276,4391,2998,2190347,2078633
18,86,91,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
19,91,96,5,1.0.0.2,1924.29,1734.76,1734.76,15.0978,2.69796,35.0152,64.9848,2953,1919,1202678,1084222
19,91,96,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
20,96,101,5,1.0.0.2,6110.26,5712.99,5712.99,45.8113,2.60574,9.11697,90.883,5232,4755,3818914,3570616
20,96,101,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
21,101,106,5,1.0.0.2,5253.52,4959.83,4959.83,22.5701,2.1957,8.42281,91.5772,5402,4947,3283451,3099892
21,101,106,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
22,106,111,5,1.0.0.2,2652.51,2361.9,2361.9,22.1288,1.6082,40.471,59.529,3652,2174,1657822,1476188
22,106,111,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
23,111,116,5,1.0.0.2,4032.95,3902.86,3902.86,15.6676,1.72902,11.7707,88.2293,3908,3448,2520595,2439290
23,111,116,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
24,116,121,5,1.0.0.2,2495.82,2369.93,2369.93,13.9881,1.80108,2.8496,97.1504,1895,1841,1559886,1481208
24,116,121,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
25,121,126,5,1.0.0.2,1463.98,1359.51,1359.51,14.4098,1.8471,18.8823,81.1177,2362,1916,914986,849691
25,121,126,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
26,126,131,5,1.0.0.2,4880.68,4803.04,4803.04,21.4664,1.3255,0.857719,99.1423,3964,3930,3050428,3001901
26,126,131,5,5.0.0.2,4430.35,2714.45,2714.45,7.414,0.420153,38.7538,61.2462,2632,1612,2768966,1696532
