round,count
1,3207
2,2959
3,3565
4,4595
5,5736
6,7589
7,5999
8,6927
9,4523
10,5382
11,2932
12,6035
13,6482
14,4502
15,5133
16,5315
17,5266
18,3299
19,1997
20,6651
21,6685
22,2025
23,3279
24,1795
25,1447
26,4718
27,3220
28,2727
29,3882
30,7982
31,4552
32,5726
33,4562
34,3593
35,5235
36,2965
37,2917
38,4679
39,3017
40,2545
41,3759
42,1642
43,2898
44,1653
45,3147
46,3807
47,653
48,5272
49,6575
50,3033
51,5021
52,3076
53,5676
54,3447
55,2709
56,3485
57,3377
58,2875
59,5463
60,6807
61,2890
62,4417
63,4048
64,5194
65,5661
66,3183
67,2573
68,3937
69,2398
70,6092
71,4096
72,3246
73,3511
74,3588
75,496
76,5640
77,3391
78,4075
79,6409
80,2108
81,3949
82,3191
83,4134
84,2869
85,3537
86,4000
87,5980
88,4766
89,1266
90,2267
91,1512
92,4779
93,2741
94,1711
95,3777
96,1129
97,3117
98,2974
99,3032
100,2076
