node_id,ue_idx,rnti,distance_m
0,1,1,135.888451
1,2,2,95.631763
2,3,3,65.281664
3,4,310,65.552778
4,5,311,82.594237
5,6,312,52.551046
6,7,313,57.990628
7,8,606,76.189789
8,9,607,91.708329
9,10,608,91.313681
10,11,1026,143.170194
11,12,1027,62.373919
12,13,1028,87.828844
13,14,1291,132.480815
14,15,1292,152.313292
15,16,1293,164.157840
16,17,1544,109.576820
17,18,1545,62.475041
18,19,1546,102.192692
19,20,1666,68.598140
20,21,1667,146.749319
21,22,1668,154.734821
22,23,1669,100.217659
23,24,1900,151.751461
24,25,1785,118.066786
25,26,1786,59.847122
26,27,1787,79.651636
27,28,749,155.764513
28,29,750,167.167628
29,30,751,136.616044
30,31,1901,123.889882
31,32,1902,121.916306
32,33,2121,58.189894
33,34,2122,53.222114
34,35,2123,122.750406
35,36,2330,131.287301
36,37,2331,146.176177
37,38,2332,161.354544
38,39,2333,112.301922
39,40,2429,133.989226
40,41,2430,149.517837
41,42,2431,53.708846
42,43,2432,138.965610
43,44,2615,54.106100
44,45,2616,70.508742
45,46,2617,60.044137
46,47,2703,104.790215
47,48,2704,145.064558
48,49,2705,79.238545
49,50,2870,84.622367
50,51,2871,61.576316
51,52,2872,91.877209
52,53,2949,165.617351
53,54,2950,130.517150
54,55,2951,109.368807
55,56,3098,82.541853
56,57,3099,119.272592
57,58,3100,103.043187
58,59,460,166.455175
59,60,461,72.742436
60,61,462,87.627912
61,62,3168,73.174157
62,63,3169,99.665920
63,64,3170,108.520970
64,65,2012,102.699794
65,66,2013,65.082055
66,67,2014,144.178093
67,68,3235,82.416770
68,69,3236,133.035351
69,70,3237,57.333403
70,71,3238,64.277221
71,72,3359,57.055559
72,73,3360,150.171717
73,74,2788,150.370460
74,75,2789,83.343877
75,76,2790,71.216293
76,77,2524,134.364505
77,78,2525,123.555134
78,79,2526,124.498461
79,80,3361,85.080174
80,81,3362,63.704907
81,82,3416,134.155995
82,83,3417,60.729505
83,84,3418,97.697383
84,85,3469,118.375173
85,86,3470,155.898085
86,87,3471,71.216608
87,88,3519,134.567888
88,89,3520,116.026071
89,90,3521,101.532088
90,91,3610,77.773738
91,92,3611,96.201181
92,93,3612,96.731159
93,94,3651,87.268672
94,95,3299,129.640277
95,96,3300,60.134626
96,97,3301,128.474602
97,98,3652,142.367194
98,99,3566,146.926718
99,100,3567,72.760372
100,101,3568,70.516390
101,102,3653,122.936838
102,103,157,136.593115
103,104,158,104.519549
104,105,159,147.229617
105,106,3654,143.535815
106,107,3025,96.771818
107,108,3026,111.399458
108,109,3027,110.670030
109,110,3689,89.599931
110,111,3690,71.015837
111,112,3691,86.733384
112,113,3723,116.520836
113,114,2227,114.556104
114,115,2228,91.324549
115,116,2229,58.082865
116,117,2230,116.593233
117,118,3724,135.768762
118,119,3725,166.211513
119,120,3726,142.306433
120,121,3754,73.909212
121,122,3755,79.692319
122,123,3756,122.123014
123,124,3757,85.594167
124,125,3781,75.036879
125,126,3782,149.873214
126,127,3783,101.996922
127,128,3784,56.013340
128,129,3804,94.782974
129,130,3805,62.150084
130,131,3806,56.698918
131,132,3807,122.751956
132,133,3838,116.404584
133,134,3839,55.125306
134,135,3840,82.059024
135,136,3823,138.575571
136,137,3824,73.669578
137,138,1419,114.253611
138,139,1160,61.258666
139,140,1161,146.209041
140,141,1162,95.774411
141,142,1420,133.165626
142,143,1421,62.920412
143,144,3825,75.592925
144,145,3841,85.221672
145,146,3850,123.011626
146,147,3851,69.051402
147,148,3852,71.419449
148,149,3853,68.998818
149,150,3858,87.314218
