round,start_sim,end_sim,duration_sim,start_wall,end_wall,duration_wall
1,1,6,5,01:07:36,01:15:31,474.947
2,6,11,5,01:15:31,01:22:32,420.518
3,11,16,5,01:22:32,01:29:39,427.347
4,16,21,5,01:29:39,01:36:59,440.225
5,21,26,5,01:36:59,01:43:49,409.593
6,26,31,5,01:43:49,01:51:18,449.305
7,31,36,5,01:51:18,01:58:35,436.973
8,36,41,5,01:58:35,02:05:36,420.923
9,41,46,5,02:05:36,02:12:51,434.393
10,46,51,5,02:12:51,02:20:25,454.515
11,51,56,5,02:20:25,02:27:15,409.868
12,56,61,5,02:27:15,02:34:52,457.29
13,61,66,5,02:34:52,02:42:09,436.741
14,66,71,5,02:42:09,02:48:56,407.313
15,71,76,5,02:48:56,02:56:05,428.428
16,76,81,5,02:56:05,03:02:56,410.955
17,81,86,5,03:02:56,03:10:38,462.038
18,86,91,5,03:10:38,03:17:25,407.792
19,91,96,5,03:17:25,03:23:14,348.235
20,96,101,5,03:23:14,03:30:04,410.033
21,101,106,5,03:30:04,03:37:13,428.853
22,106,111,5,03:37:13,03:43:35,381.914
23,111,116,5,03:43:35,03:49:59,384.495
24,116,121,5,03:49:59,03:56:05,365.476
25,121,126,5,03:56:05,04:02:26,381.094
26,126,131,5,04:02:26,04:09:47,441.723
27,131,136,5,04:09:47,04:15:41,353.828
28,136,141,5,04:15:41,04:21:39,357.332
29,141,146,5,04:21:39,04:28:30,411.416
30,146,150.723,4.72253,04:28:30,04:35:49,439.409
31,150.723,155.723,5,04:35:49,04:42:13,384.082
32,155.723,160.723,5,04:42:13,04:48:50,396.65
33,160.723,165.723,5,04:48:50,04:55:50,420.266
34,165.723,170.723,5,04:55:50,05:02:20,389.35
35,170.723,175.723,5,05:02:20,05:08:40,380.596
36,175.723,180.723,5,05:08:40,05:15:11,390.831
37,180.723,185.723,5,05:15:11,05:22:08,417.287
38,185.723,190.723,5,05:22:08,05:29:28,439.953
39,190.723,195.723,5,05:29:28,05:35:45,376.337
40,195.723,200.723,5,05:35:45,05:41:44,359.527
41,200.723,205.723,5,05:41:44,05:48:00,375.924
42,205.723,210.723,5,05:48:00,05:54:36,395.588
43,210.723,215.723,5,05:54:36,06:01:24,408.072
44,215.723,220.723,5,06:01:24,06:07:32,367.767
45,220.723,225.723,5,06:07:32,06:13:52,380.355
46,225.723,230.723,5,06:13:52,06:19:59,367.22
47,230.723,235.723,5,06:19:59,06:25:26,326.695
48,235.723,240.723,5,06:25:26,06:32:45,439.125
49,240.723,245.723,5,06:32:45,06:40:01,436.444
50,245.723,250.723,5,06:40:01,06:46:18,376.478
51,250.723,255.723,5,06:46:18,06:53:41,443.158
52,255.723,260.723,5,06:53:41,07:00:02,381.302
53,260.723,265.723,5,07:00:02,07:05:58,356.108
54,265.723,270.723,5,07:05:58,07:12:48,409.262
55,270.723,275.723,5,07:12:48,07:19:50,421.822
56,275.723,280.723,5,07:19:50,07:26:18,388.305
57,280.723,285.723,5,07:26:18,07:32:13,355.382
58,285.723,290.723,5,07:32:13,07:38:40,386.497
59,290.723,295.723,5,07:38:40,07:46:37,477.468
60,295.723,300.723,5,07:46:37,07:53:41,424.052
61,300.723,305.723,5,07:53:41,07:59:40,358.702
62,305.723,310.723,5,07:59:40,08:06:13,392.77
63,310.723,315.723,5,08:06:13,08:13:03,410.407
64,315.723,320.723,5,08:13:03,08:19:30,386.994
65,320.723,325.723,5,08:19:30,08:27:04,453.69
66,325.723,330.723,5,08:27:04,08:33:06,362.411
67,330.723,335.723,5,08:33:06,08:39:04,358.234
68,335.723,340.723,5,08:39:04,08:45:32,387.12
69,340.723,345.723,5,08:45:32,08:51:35,363.879
70,345.723,350.723,5,08:51:35,08:59:08,452.548
71,350.723,355.723,5,08:59:08,09:06:02,413.765
72,355.723,360.723,5,09:06:02,09:12:25,382.829
73,360.723,365.723,5,09:12:25,09:19:20,415.411
74,365.723,370.723,5,09:19:20,09:26:12,412.004
75,370.723,375.723,5,09:26:12,09:31:37,325.007
76,375.723,380.723,5,09:31:37,09:39:01,443.688
77,380.723,385.723,5,09:39:01,09:45:07,366.085
78,385.723,390.723,5,09:45:07,09:51:11,364.008
79,390.723,395.723,5,09:51:11,09:58:05,414.144
80,395.723,400.723,5,09:58:05,10:04:35,390.435
81,400.723,405.723,5,10:04:35,10:11:37,421.155
82,405.723,410.723,5,10:11:37,10:17:59,382.867
83,410.723,415.723,5,10:17:59,10:24:34,394.659
84,415.723,420.723,5,10:24:34,10:30:51,377.34
85,420.723,425.723,5,10:30:51,10:37:16,384.092
86,425.723,430.723,5,10:37:16,10:43:59,403.442
87,430.723,435.723,5,10:43:59,10:50:54,415.301
88,435.723,440.723,5,10:50:54,10:58:21,446.635
89,440.723,445.723,5,10:58:21,11:03:59,338.429
90,445.723,450.723,5,11:03:59,11:10:32,392.478
91,450.723,455.723,5,11:10:32,11:16:08,335.998
92,455.723,460.723,5,11:16:08,11:23:05,417.038
93,460.723,465.723,5,11:23:05,11:29:05,360.547
94,465.723,470.723,5,11:29:05,11:35:29,383.532
95,470.723,475.723,5,11:35:29,11:41:33,364.006
96,475.723,480.723,5,11:41:33,11:47:08,334.698
97,480.723,485.723,5,11:47:08,11:53:38,390.141
98,485.723,490.723,5,11:53:38,11:59:41,363.472
99,490.723,495.723,5,11:59:41,12:05:59,378.143
100,495.723,500.723,5,12:05:59,12:11:56,356.407
