round,ids
1,1.44907;4.73257;4.85853
2,1.89903;3.19957;4.52607;4.58307;4.59403;4.59403
3,1.71404;1.8555;4.3445;4.34803;4.3545;4.37003
4,1.705;1.85397;4.1105;4.3125;4.318;4.4455
5,1.7145;1.8715;3.9945;4.0545;4.08396
6,1.254;3.664;4.1085;4.24046
7,1.74947;1.8295;3.886;4.0125;4.0125;4.344
8,1.1755;3.253;3.5995;3.609;3.872
9,2.24597;2.2775;2.3175;3.64946;4.6715
10,1.238;3.6465;3.651;3.809;3.8095
11,1.138;2.9815;3.652;3.7685;3.7705;3.78096
12,1.81954;2.16654;2.168;3.64903;3.67354
13,1.138;2.85804;3.651;3.65254;3.65904;4.601
14,2.09704;2.18;2.21303;3.91604;4.94503
15,1.33554;3.0065;3.0065;3.18804
16,1.52454;3.2935;3.5035;3.52053;3.686;4.13953
17,1.125;3.4355;3.472;4.2195;4.6435
18,1.1815;3.168;3.536;3.55046;3.91446;4.6075
19,1.588;1.6725;3.20296;3.5695;3.64496;3.65
20,1.5925;2.21297;3.175
21,1.90546;2.05;2.121;3.537;3.7595;3.9505
22,1.455;1.5775;3.09596;3.098;3.181
23,1.8505;1.9615;4.017;4.017;4.03446;4.045
24,1.5645;1.918;3.4185;3.539;4.3355
25,2.0425;2.0445;2.135;3.579;3.6795;3.6805
26,1.40097;1.5875;3.652;3.849;3.86
27,1.9965;2.914;3.639;3.64;3.64996;3.64997
28,1.43903;1.54653;2.97904;2.9815;3.06203
29,1.0975;2.63303;2.63304;3.67953
30,1.1375;2.93003;2.94453;3.32205
31,1.40204;3.36154;3.51703;3.58404;3.80504
32,1.37203;2.57304;2.58453;2.78153
33,1.36153;2.95604;3.0365;3.15003;4.84253
34,1.1435;3.20853;3.56453;3.82454;4.19953
35,1.51653;3.33254;3.47753;3.78204;3.78553;4.121
36,1.74854;1.873;3.39304;3.70154;3.70454;3.7855
37,1.82704;2.16954;3.24954;3.25054;3.43304
38,1.54804;2.70404;3.3;3.3;3.47854
39,1.62404;3.30954;3.42204
40,1.61154;3.14504;3.27504
41,1.56354;2.44654;3.49554;3.54254;3.60204
42,1.10204;2.03404;2.03404
43,2.0215;3.20004;3.79804;3.80754;3.81554
44,1.12754;2.76704;2.78204;3.05504;4.68054
45,1.60254;3.55854;3.69204;3.77604;3.87254
46,1.12204;2.86004;2.86304;3.04154
47,1.20254;2.82954;3.10254;3.10854;4.67
48,1.13004;3.03454;3.27604;3.33004;4.27854
49,2.08354;2.17554;2.26154;4.1;4.23704
50,1.665;1.665;3.15554;3.56104;3.56754;3.624
51,1.58004;1.76504;2.60304;2.64154
52,1.47004;1.56554;3.254;3.254;3.52504;3.52504
53,1.9345;2.1335;2.1745;3.7345;3.87846
54,1.648;1.67096;3.1305;3.1305;3.2155
55,2.5685;2.5685;2.8395;2.906;2.9065
56,1.6485;1.702;4.037;4.24746
57,1.6495;1.7055;3.356;3.5955;3.6485
58,1.1195;2.74;3.229;3.367;3.75546;4.1885
59,1.132;2.671;2.7125;3.15646
60,1.1555;2.8615;3.42096;3.696;3.723
61,1.11596;2.68247;3.069;3.075;3.201
62,2.68796;2.855;2.8725
63,1.118;2.69596;3.355;3.355;3.44696;3.44746
64,1.68853;1.7195;3.14554;3.14554
65,1.53954;1.62153;3.08553;3.08604;3.119
66,1.61604;2.34504;3.09554;3.22404;3.30154
67,1.81353;2.04303;2.1025;3.15854;3.15854
68,1.20003;2.85253;2.85603;3.13204;3.13204
69,1.39;1.53254;3.388;3.59104;3.61103;3.6295
70,1.54;1.5935;2.53703;2.53704
71,1.12503;2.78353;2.78353;3.0975;3.10153
72,3.10304;3.83603;3.963;4.02053
73,2.06103;2.2315;2.26153;3.63753;3.82454;3.83854
74,1.6375;2.6845;2.6845;2.9175
75,1.864;1.9305;3.38047;3.5365;3.96396;4.4315
76,1.4445;1.6235;2.59896;2.6015
77,1.56146;1.652;3.3305;3.5535;3.6025;4.12146
78,1.10804;2.75854;2.76304;2.94354;3.41554
79,1.0835;2.49454;2.49653;2.58003
80,1.08553;2.89903;2.89953;3.04303;3.04304
81,1.09204;2.35953;2.72503;3.6005;4.24103
82,1.19304;2.99603;3.59803;3.5985;3.65904
83,1.59153;1.68054;3.15503;3.16903;3.22454
84,1.45204;1.605;2.4975;2.63554
85,1.55803;1.61153;3.12454;3.25154;3.38503
86,1.67053;2.85753;3.716;3.716;3.77953;3.77953
87,1.12196;2.913;2.913;3.37;3.4655;3.543
88,1.2825;1.58397;1.9075
89,1.54546;1.687;1.867
90,1.11546;2.543;2.543;2.635
91,1.14;2.616;2.898;2.9075;3.3755
92,1.581;1.62;3.13896;3.13897;3.1715
93,1.087;2.475;2.477;2.5595
94,1.6275;1.69246;3.319;3.6665
95,1.099;2.8635;3.1385;3.1525;3.154
96,1.58297;1.658;1.79096
97,1.674;1.74046;2.60647;2.755
98,1.105;2.5125;2.513;2.595
99,2.068;2.3645;2.38496;2.55046
100,2.046;2.1715;2.2085;3.6935;3.781;3.781
