round,ids
1,3.38603;4.26507;4.35007;4.39307
2,2.42307;2.49957;4.49607;4.70507;4.70907
3,1.23507;3.21657;4.02803;4.06807;4.15203;4.17607
4,4.0085;4.2245
5,3.856;3.973;4.0105
6,1.119;3.0325;3.034;3.05946
7,1.1675;2.58996;2.594
8,2.25746;2.73646
9,1.25301;2.954;3.2915;3.80346;3.951
10,1.1195;2.81;3.50696;3.51946;3.53996
11,2.834;3.4205;4.068;4.5595
12,2.804;3.521;3.527;3.5325;3.975;4.1795
13,1.235;2.687;2.81596;3.20346
14,1.055;2.775;3.245;3.59401
15,1.7935;1.9825;3.228;4.5685;4.855
16,2.487;3.593;4.344
17,1.34851;2.462;3.3315
18,2.29296;2.3755;2.4255;4.917
19,1.2745;1.473;3.2915;3.29446;3.7745
20,1.407;3.14151;3.45697;3.69746
21,1.905;4.016;4.067;4.0775;4.60451
22,1.15047;2.865;2.98397;2.988;4.613
23,2.69546;2.86996;3.0175;3.02297;3.7415
24,3.488;4.038;4.6275
25,1.8435;2.0915;3.4275;3.445
26,3.09747;3.6685;4.1805
27,1.118;2.7525;2.79;2.9545;4.132
28,2.6865;3.3005;3.308;3.318;4.384;4.733
29,1.05396;2.614;2.64746;3.912;4.884
30,3.4165;3.732;4.2865
31,1.318;3.57046;3.746;3.843;4.528
32,1.084;3.2325;3.27796;3.74096
33,1.11546;2.558;3.1425;3.1445;3.1495
34,1.0345;1.878
35,1.047;2.2835;2.29646;2.376
36,1.591;3.108;3.1095;3.263;3.4575
37,2.9655;3.08996;4.608
38,1.038;1.6605;1.661
39,1.053;2.78246;2.79596;2.83896
40,1.4625;1.559;2.7955;2.891
41,1.085;4.92196;4.9875
42,1.0515;2.40496;3.00996;3.126
43,3.1695;3.17146;3.17746;4.195;4.368
44,1.3385;1.528;2.702
45,1.7405;2.496;4.124
46,1.072
47,1.1015;2.62;3.2425;3.24896;3.255;4.42646
48,1.69954;2.14353
49,1.058;2.4405;2.71804;3.19604
50,1.56404;1.61054;3.4305;3.618;4.08504
51,1.85453;2.00454;2.1205;3.17354;3.17754
52,1.34954;2.41504;3.09054
53,2.04854;2.19753
54,1.10204;2.60104;2.81454
55,1.087;1.97053;4.80054
56,1.11154;2.97804;3.00254;3.031
57,1.35854;1.88854;2.577;2.9615
58,1.11854;2.2625;2.31354;3.52854;4.14854
59,1.03804;1.80654;4.738
60,1.41004;1.6245
61,1.03704;1.85154
62,1.44704;2.82154;2.90604;4.16304
63,1.05354;2.3445;2.637;2.63953;2.82904
64,1.50054;1.66304;2.321
65,1.424;2.0245;2.03553;3.84154;4.53604
66,1.37604;1.54554;2.70104;2.94904;3.00054
67,1.081;1.722;1.7225
68,1.52554;2.92804;2.92854;3.11054;3.30704;4.27054
69,1.0455;4.021
70,1.4765;1.5265;2.91297;2.995;3.154
71,1.3375;2.184;3.10347;3.107
72,2.614;3.442
73,2.957;3.6415;3.6495;3.667;3.902
74,1.52047;2.349
75,1.414;3.069;3.07046;3.337;3.339;3.8725
76,1.0725;2.62547;2.736;2.916
77,1.0525;2.7745;2.8705;4.03296
78,1.703;1.7185;2.33796
79,1.47147;1.8485
80,1.113;1.93946
81,1.09796;1.325
82,1.13096;2.643;3.09946;3.186;3.2685
83,1.0295;1.6845;1.6845
84,1.00696;1.6485;1.649
85,1.3285;1.6345;1.6955
86,1.05947;2.75347;2.76746;2.876;2.9695
87,1.0335;1.6285;2.461
88,1.05247;2.4065
89,1.3515;4.9805
90,1.02046;2.27347;2.277;2.376
91,1.525;2.6355;2.637;2.76797;3.3845
92,1.4915;1.53146;2.962;3.7375
93,1.417;2.365;2.3665;2.5205
94,1.7635;1.7835;3.214;3.26597
95,1.129;2.60197;2.702;2.8715;3.1665
96,1.38897;1.475;2.2785;3.11546
97,1.115;2.65147;3.051;3.303;3.514;4.58251
98,1.05649;2.69399;2.95446;3.84199
99,1.70449;1.82199;3.11949
100,1.46399;2.74199;2.87649;4.775
