round,total_ul_rbg
1,53764
2,60546
3,54520
4,28256
5,53646
6,42727
7,34792
8,37137
9,66827
10,59182
11,48068
12,61324
13,41502
14,50552
15,56314
16,41580
17,33172
18,53587
19,50704
20,57245
21,64977
22,56871
23,51458
24,46417
25,55065
26,48081
27,49547
28,62826
29,52851
30,48809
31,71775
32,54392
33,58556
34,23949
35,35798
36,48303
37,41710
38,26577
39,37736
40,42388
41,41910
42,49463
43,54002
44,37014
45,34491
46,32125
47,58092
48,36206
49,43655
50,56654
51,52828
52,36685
53,41524
54,39883
55,38020
56,40055
57,41376
58,64521
59,31834
60,18799
61,21580
62,50983
63,45195
64,29356
65,53564
66,47140
67,26732
68,57979
69,41075
70,46375
71,45076
72,31625
73,66476
74,32837
75,58252
76,38040
77,41950
78,28357
79,21075
80,28945
81,21164
82,46441
83,26808
84,26706
85,27395
86,45755
87,31012
88,20563
89,22993
90,36039
91,49616
92,44469
93,40335
94,48465
95,53369
96,40011
97,61757
98,52030
99,30987
100,44876
