round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,1,6,5,1.0.0.2,6019.7,5864.53,5864.53,21.8115,1.48548,9.47004,90.53,5491,4971,3762309,3665331
1,1,6,5,5.0.0.2,65336.1,4242.79,4242.79,14.7934,3.8383,93.508,6.492,38817,2520,40835087,2651743
2,6,9.71757,3.71757,1.0.0.2,9424.33,9424.2,9424.2,22.2873,1.19924,0,100,5688,5688,4379449,4379388
2,6,9.71757,3.71757,5.0.0.2,37468.9,3853.34,3853.34,14.5623,3.85138,89.716,10.284,16550,1702,17411653,1790631
3,9.71757,13.8126,4.095,1.0.0.2,8699.67,8597.68,8597.68,19.8644,1.3996,0.611933,99.3881,5883,5847,4453146,4400940
3,9.71757,13.8126,4.095,5.0.0.2,4232.6,3369.74,3369.74,14.217,3.8622,20.3497,79.6503,2059,1640,2166563,1724884
4,13.8126,18.1511,4.3385,1.0.0.2,8175.66,8106.04,8106.04,13.1344,1.39811,0.442704,99.5573,5873,5847,4433764,4396008
4,13.8126,18.1511,4.3385,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.86047,20.3483,79.6517,2182,1738,2295392,1827450
5,18.1511,23.1511,5,1.0.0.2,4825.79,4709.44,4709.44,15.0873,1.34014,11.5583,88.4417,4646,4109,3016118,2943399
5,18.1511,23.1511,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
6,23.1511,27.7016,4.5505,1.0.0.2,7760.93,7591.67,7591.67,23.7488,1.40664,1.1669,98.8331,5656,5590,4414512,4318236
6,23.1511,27.7016,4.5505,5.0.0.2,4232.6,3369.74,3369.74,14.2124,3.85979,20.3582,79.6418,2289,1823,2407555,1916748
7,27.7016,32.7016,5,1.0.0.2,6124.77,6011.53,6011.53,12.8038,1.37323,0.935104,99.0649,5347,5297,3827978,3757208
7,27.7016,32.7016,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
8,32.7016,37.7016,5,1.0.0.2,5750.16,5616.64,5616.64,14.5828,1.82847,1.09269,98.9073,5308,5250,3593850,3510399
8,32.7016,37.7016,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
9,37.7016,42.7016,5,1.0.0.2,5955.39,5858.94,5858.94,23.4302,1.35526,0.859179,99.1408,4772,4731,3722122,3661839
9,37.7016,42.7016,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
10,42.7016,46.8426,4.141,1.0.0.2,8507.58,8476.67,8476.67,17.8205,1.27527,0.192173,99.8078,5724,5713,4403738,4387739
10,42.7016,46.8426,4.141,5.0.0.2,4232.6,3369.74,3369.74,14.2206,3.86306,20.4033,79.5967,2083,1658,2190900,1744260
11,46.8426,50.588,3.74546,1.0.0.2,9384.15,9384.07,9384.07,16.0082,1.41671,0,100,5820,5820,4393502,4393462
11,46.8426,50.588,3.74546,5.0.0.2,4232.6,3369.74,3369.74,14.2171,3.86334,20.3822,79.6178,1884,1500,1981631,1577653
12,50.588,55.588,5,1.0.0.2,5981.35,5867.59,5867.59,18.8019,1.58568,0.993512,99.0065,4932,4883,3738342,3667245
12,50.588,55.588,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
13,55.588,59.3386,3.75053,1.0.0.2,9399.47,9368.01,9368.01,15.2743,1.56549,0.205797,99.7942,5831,5819,4406629,4391878
13,55.588,59.3386,3.75053,5.0.0.2,4232.6,3369.74,3369.74,14.2174,3.8634,20.4028,79.5972,1887,1502,1984314,1579789
14,59.3386,64.3386,5,1.0.0.2,5993.5,5963.26,5963.26,13.9446,1.46471,0.241009,99.759,5394,5381,3745940,3727040
14,59.3386,64.3386,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
15,64.3386,68.3056,3.967,1.0.0.2,8988.18,8859.49,8859.49,15.5413,1.58541,0.748809,99.2512,5876,5832,4457014,4393201
15,64.3386,68.3056,3.967,5.0.0.2,4232.6,3369.74,3369.74,14.2146,3.86194,20.3509,79.6491,1995,1589,2098840,1670968
16,68.3056,73.3056,5,1.0.0.2,7057.38,7013.19,7013.19,22.7578,1.43218,0.339286,99.6607,5600,5581,4410864,4383243
16,68.3056,73.3056,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
17,73.3056,78.3056,5,1.0.0.2,5980.55,5936.34,5936.34,14.158,1.40525,0.351917,99.6481,5399,5380,3737846,3710215
17,73.3056,78.3056,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
18,78.3056,83.3056,5,1.0.0.2,6113.49,6069.35,6069.35,19.415,1.32357,0.350101,99.6499,5427,5408,3820933,3793345
18,78.3056,83.3056,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
19,83.3056,88.3056,5,1.0.0.2,5938.93,5862.36,5862.36,18.1813,1.52275,0.670323,99.3297,4923,4890,3711834,3663975
19,83.3056,88.3056,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
20,88.3056,93.3056,5,1.0.0.2,6459.37,6349.77,6349.77,11.5471,1.63134,0.900225,99.0998,5332,5284,4037109,3968607
20,88.3056,93.3056,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
21,93.3056,98.3056,5,1.0.0.2,5439.74,5358.7,5358.7,15.7829,1.4808,0.810185,99.1898,4320,4285,3399840,3349187
21,93.3056,98.3056,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
22,98.3056,103.306,5,1.0.0.2,6017.35,5883.57,5883.57,14.8472,1.69392,8.06221,91.9378,5594,5143,3760844,3677229
22,98.3056,103.306,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
23,103.306,108.306,5,1.0.0.2,7410.61,6922.69,6922.69,27.1175,1.78796,3.75901,96.241,5826,5607,4631632,4326680
23,103.306,108.306,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
24,108.306,113.306,5,1.0.0.2,6019.66,5856.41,5856.41,26.3013,1.42546,1.45985,98.5401,4795,4725,3762288,3660254
24,108.306,113.306,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
25,113.306,117.277,3.971,1.0.0.2,8912.06,8850.51,8850.51,14.8991,1.33123,0.358301,99.6417,5861,5840,4423723,4393174
25,113.306,117.277,3.971,5.0.0.2,4232.6,3369.74,3369.74,14.22,3.8634,20.3806,79.6194,1997,1590,2100957,1672653
26,117.277,122.277,5,1.0.0.2,5909.65,5846.92,5846.92,25.8358,1.66187,0.576553,99.4234,4683,4656,3693529,3654324
26,117.277,122.277,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
27,122.277,127.277,5,1.0.0.2,6437.58,6267.91,6267.91,15.9853,1.24547,6.65372,93.3463,5666,5289,4023486,3917444
27,122.277,127.277,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
28,127.277,132.277,5,1.0.0.2,6023.77,5926.13,5926.13,19.3076,1.42678,3.57279,96.4272,5234,5047,3764856,3703829
28,127.277,132.277,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
29,132.277,136.05,3.773,1.0.0.2,9378.57,9289.3,9289.3,24.435,1.36151,0.484345,99.5157,5781,5753,4423170,4381066
29,132.277,136.05,3.773,5.0.0.2,4232.6,3369.74,3369.74,14.2174,3.86332,20.3479,79.6521,1897,1511,1996200,1589252
30,136.05,141.05,5,1.0.0.2,5938.4,5872.81,5872.81,24.6545,1.71202,0.721352,99.2786,4852,4817,3711503,3670505
30,136.05,141.05,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
31,141.05,144.59,3.53996,1.0.0.2,9914.6,9914.52,9914.52,20.7454,1.24318,0,100,5772,5772,4387168,4387131
31,141.05,144.59,3.53996,5.0.0.2,4232.6,3369.74,3369.74,14.2241,3.86601,20.3933,79.6067,1780,1417,1872906,1491093
32,144.59,148.97,4.3805,1.0.0.2,8118.69,7850.79,7850.79,39.2718,1.78569,1.77942,98.2206,5676,5575,4445488,4298796
32,144.59,148.97,4.3805,5.0.0.2,4232.6,3369.74,3369.74,14.2197,3.86218,20.3813,79.6187,2203,1754,2317613,1845141
33,148.97,153.822,4.85204,1.0.0.2,7462.18,7351.11,7351.11,15.3239,1.5212,0.808116,99.1919,5816,5769,4525846,4458481
33,148.97,153.822,4.85204,5.0.0.2,4232.6,3369.74,3369.74,14.2256,3.86272,20.4098,79.5902,2440,1942,2567090,2043760
34,153.822,157.813,3.99096,1.0.0.2,8952.68,8854.09,8854.09,20.0645,1.45313,0.725249,99.2748,5929,5886,4466224,4417044
34,153.822,157.813,3.99096,5.0.0.2,4232.6,3369.74,3369.74,14.2288,3.86575,20.3888,79.6112,2006,1597,2111518,1681061
35,157.813,162.813,5,1.0.0.2,6015.35,5891.26,5891.26,23.8407,1.53904,1.72643,98.2736,5271,5180,3759592,3682038
35,157.813,162.813,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
36,162.813,167.813,5,1.0.0.2,5847.95,5715.6,5715.6,14.8926,1.62232,1.16899,98.831,4876,4819,3654967,3572249
36,162.813,167.813,5,5.0.0.2,4232.6,3369.74,3369.74,14.213,3.85899,20.3895,79.6105,2516,2003,2645375,2106085
37,167.813,172.292,4.47904,1.0.0.2,7879.79,7848.56,7848.56,15.8905,1.26178,0.205269,99.7947,5846,5834,4411737,4394250
37,167.813,172.292,4.47904,5.0.0.2,4232.6,3369.74,3369.74,14.2233,3.86292,20.3819,79.6181,2252,1793,2369747,1886648
38,172.292,177.292,5,1.0.0.2,4954.87,4806.89,4806.89,12.682,1.60345,7.94365,92.0563,5111,4705,3096796,3004307
38,172.292,177.292,5,5.0.0.2,3496.04,3093.09,3093.09,14.2217,3.81623,11.5014,88.4986,2078,1839,2185027,1933178
39,177.292,182.292,5,1.0.0.2,4801.62,4683.22,4683.22,25.6453,1.58724,1.30568,98.6943,3906,3855,3001013,2927011
39,177.292,182.292,5,5.0.0.2,2850.95,2850.79,2850.79,14.2338,3.77055,0,100,1695,1695,1781845,1781743
40,182.292,185.99,3.69796,1.0.0.2,8941.21,8882.64,8882.64,22.1589,1.43582,0.337205,99.6628,5338,5320,4133031,4105958
40,182.292,185.99,3.69796,5.0.0.2,2850.95,2850.79,2850.79,14.2407,3.77553,0,100,1253,1253,1317840,1317764
