round,total_numsym
1,61608
2,67628
3,56230
4,62561
5,48280
6,83611
7,59984
8,50010
9,48485
10,54924
11,36903
12,64292
13,71546
14,60774
15,116800
16,34853
17,63473
18,35647
19,87490
20,47073
21,31187
22,27631
23,55281
24,40470
25,36431
26,36727
27,75525
28,42129
29,36997
30,65412
31,18598
32,58633
33,55949
34,55673
35,39527
36,63334
37,39654
38,45093
39,66977
40,80574
41,36623
42,27164
43,35837
44,19583
45,46777
46,70129
47,47631
48,95454
49,80366
50,22702
51,23024
52,46285
53,27872
54,67180
55,35963
56,54471
57,48114
58,27869
59,72253
60,33958
61,49830
62,28743
63,34519
64,31494
65,61297
66,48352
67,10220
68,47561
69,33924
70,26679
71,60970
72,42629
73,88111
74,53836
75,81830
76,28809
77,29195
78,27881
79,11605
80,23132
81,40055
82,42579
83,84116
84,71306
85,65276
86,48444
87,49771
88,49139
89,46063
90,40695
91,32414
92,61135
93,47121
94,64826
95,27853
96,29088
97,22921
98,41650
99,44532
100,39738
