round,total_ul_rbg
1,37734
2,37469
3,37408
4,38980
5,36033
6,40436
7,37734
8,38428
9,38830
10,37644
11,35376
12,36528
13,38626
14,40981
15,41140
16,37234
17,38365
18,32871
19,29855
20,27734
21,27969
22,25516
23,24171
24,23877
25,24017
26,23072
27,21127
28,23198
29,23052
30,23317
31,22713
32,23736
33,24145
34,24891
35,24231
36,23098
37,22948
38,24993
39,25043
40,25354
41,23599
42,22884
43,23319
44,23133
45,25575
46,25110
47,24183
48,25153
49,24492
50,23879
51,22974
52,24320
53,23257
54,25142
55,23143
56,25809
57,23744
58,24292
59,23630
60,24396
61,23759
62,22791
63,23541
64,24476
65,23998
66,24511
67,22285
68,23473
69,22915
70,23372
71,23968
72,23794
73,22731
74,23586
75,26269
76,24314
77,22659
78,24717
79,22554
80,22287
81,22982
82,24073
83,23875
84,24299
85,24640
86,23582
87,24029
88,23621
89,24691
90,22695
91,22815
92,24621
93,22530
94,24149
95,23274
96,23175
97,22556
98,24027
99,24107
100,23517
