round,ids
1,3.55153;3.58907;4.15807;4.66157
2,3.86003;4.04057;4.04057
4,4.57353;4.57407;4.79257
5,4.26607;4.26853;4.32457
6,4.12607;4.51407;4.63503;4.65307
7,3.17156;3.46757;3.69107;4.23303
8,3.57006;4.24207
9,3.44207;3.46253;3.61657;4.78557
10,4.44157;4.61057;4.98003
11,4.45807;4.54707
12,2.73257;2.87907;2.95153;3.06557
13,3.28057;3.30057;3.30407;3.37303
14,4.37807;4.96807
15,3.64307;3.64453;3.64757;4.20157;4.79157
16,3.37607;4.87957
17,4.47707;4.55857;4.56257
18,3.05557;3.43157;3.74653
19,2.81056;3.20557;3.51757;3.86407;3.86857
20,2.29203;4.65657
21,3.17657;4.44657
22,3.22003;3.40857;4.73107
23,3.47956;3.76607;3.92107;4.90603
24,2.78003;3.03256;4.79857
25,2.76607;3.26507;3.48657
26,1.99107;2.42407;3.01657;3.38807
27,2.17457;2.60657;2.87657;2.87857;3.63403
28,3.16057;3.58403;4.18257
29,2.81857;3.55907
30,3.12207;3.21557;3.27457;3.48507
31,2.03457;2.34257;2.68007
32,1.85507;2.32853;3.46157;3.61357;4.02557
33,4.23903;4.32557;4.93757
34,1.68257;2.56556;2.79007
35,2.01606;2.92153;2.92607
36,2.84807;2.97107;3.27307;3.59653;4.17957
37,1.08853;2.10203;3.74753
38,3.20607;3.45607;3.46406;4.33707
39,3.53757;4.16657;4.18107;4.22257
40,2.61607;3.34853;3.34903;3.35157;4.84707
41,2.53407;2.95557;3.30256;3.66107;3.67456
42,1.87206;2.29407;2.46857
43,2.13353;2.22003
44,1.76657;2.70607
45,1.71207;1.94503;1.96007
46,1.90553;2.19806;2.30307;2.38803
47,1.82503;2.33907;2.45357;3.07303
48,3.10307;3.68706;3.73357;3.96007;3.98457
49,2.80757;3.13056;3.13653;4.08657
50,2.69257;2.89707;3.59207;4.55257
51,3.26857;3.96853
52,3.02003;3.50657;3.51906
53,2.58007;2.95457;3.13607
54,2.55507;2.74706;3.02457;3.03706
55,1.91557;3.24507;3.24607;3.81757
56,2.12556;2.32953
57,2.09007;2.37707;2.95207;4.87107
58,2.96507
59,3.21257;3.34157;3.35956;3.47053;3.53907
60,2.64407;3.48357;3.80207;4.25907
61,1.89657;2.16507;2.59157;4.54257
62,1.86657;2.12453;2.39357;3.37257
63,1.15057;2.19557;2.39107
64,2.11456;2.19207;2.54307
65,2.59557;2.72107;2.98103;3.38803
66,2.80953;3.31257
67,2.58653;4.82557
68,2.10907;2.10957;2.49407;2.55503
69,1.10507;1.46553;1.65657
70,1.77007;1.77107;2.88807
71,1.27357;3.45757;3.51457;4.17257;4.39803
72,2.21257;2.98003;3.26657;3.35057
73,1.34406;2.65107;3.169;3.17607;3.25206;3.74953
74,2.07604;2.61604;3.33404;4.08554;4.43704
75,2.32654;2.41254;2.69404;3.27;3.53804
76,2.19004;2.3805;2.66004;3.6505
77,1.47604;2.40303;2.49554;3.59355
78,1.45154;1.90854;2.29404
79,2.59703;3.06654;3.26604
80,3.11404;3.76054;3.81404;4.74904
81,1.23204;1.60754;2.99653
82,1.17604;3.12503;3.29154
83,3.29504;3.55254;3.60004;3.61854;4.67354
84,2.98104;2.98254;3.128;3.18154;3.26704
85,1.89954;1.91704;1.95154
86,1.21554;2.78054;2.79054;3.824;4.42003
87,2.13954;2.671;2.82214;3.36604;3.71304
88,1.51954;2.41204;2.61404
89,1.69404;2.01704;2.01904
90,1.41254;2.67154;2.90404;2.90404
91,2.0295;2.60004;2.99804
92,1.25104;2.66254;2.8785;3.18504;3.42
93,1.379;3.24254;3.24404;3.298
94,1.93854;2.03104;2.75454
95,2.09804;2.58354;2.59704;2.7115;3.168
96,1.15704;1.58604;1.77553
97,1.65853;2.65554
98,1.43854;2.93004;3.06104;3.1335
99,1.05104;1.73254;1.73404
100,1.52954;3.05204;3.32154;3.52954;4.09404;4.68804
