round,ids
1,3.68107;3.96757;3.99507;4.49807
2,3.60357;4.02157;4.05453
4,3.41407;3.82107
5,3.09707;3.17257;3.24753;3.89707
6,3.67207;4.21807;4.36957;4.54807
7,2.93457;4.16807;4.74853
8,2.53507
9,2.97353;3.23307
10,3.66706;3.84407;4.08657
11,3.54607;3.81953;4.77757
12,2.67756;3.27807;3.40403;3.46507;4.47407
13,3.14607;3.43607;3.86156;4.59057
14,4.46553
15,2.80756;3.45407;3.89757;3.91257
16,3.12807;4.57407
17,4.46707;4.69553;4.75807
18,3.64757;3.85407
19,3.39056;3.73807;4.24857;4.32957
20,3.51207
21,3.17607;3.57657
22,2.38707;3.00857;4.59857
23,3.49007;3.97656;4.25357;4.36357
24,3.05107;3.41707;4.85853
25,2.01707;2.26257;2.38503
26,2.72057;2.93107;3.16807;3.46257
27,3.74157;3.95857;4.02607;4.04953;4.88007
28,2.84957;2.99406;3.36557
29,2.93106;3.98557
30,3.03807;3.67957;3.69156;4.47203
31,3.40003;3.92457
32,2.78753;3.15057;3.36057;4.39557;4.96056
33,3.78957;4.09457
34,2.55403;2.84507;3.05253
35,3.05603;3.41907
36,3.27107;3.98157;4.05053;4.06356
37,3.51653;3.53507
38,2.42757;4.81757
39,3.52307;4.25257;4.76357
40,3.51256;3.52707;3.70803;3.85903
41,3.20106;3.46107;3.58957;3.81307;4.03057
42,2.14357;2.45508
43,2.31406;2.70107;4.83206
44,1.85457;2.07807
45,3.16056;3.38807;3.40656
46,2.16107;2.65003;2.79157;3.02853
47,2.52356;2.81953;2.97057
48,3.32357;3.91757;4.00753;4.32903;4.33007
49,2.86857;3.20407;4.72157;4.75357
50,1.37257;1.51257
51,4.52903
52,3.22607;3.34557;3.47803
53,2.74807;3.23757;4.39953
54,2.78253;3.26753;3.31003;3.32403;4.43407
55,2.11953;2.59906;2.66307
56,2.14257;2.75707;2.88557
57,2.22656;2.66557;2.72257
58,2.90003
59,2.71557;3.10353;3.36403;3.51707;3.51757
60,2.68907;3.10903;4.07157;4.94557
61,1.96607;2.38456;2.62107;2.62457
62,2.17306;2.57353;3.28756;3.44403
63,2.49253;2.92657;3.08107
64,1.88557;2.20703;2.29953
65,2.89556;3.18053;3.24207;3.33207
66,1.89507;3.30157
67,2.10853;3.52603
68,2.28807;2.85857;2.94903;2.99557
69,2.02253;2.38607;2.42357;3.48607
70,3.19757;3.26907;4.93707
71,2.53357;3.19257;3.41457;3.53407;4.25607
72,4.32657;4.44407
73,3.28356;3.72507;3.94507;4.02553;4.15303;4.53353
74,2.64854;3.06654;3.49104;3.91004;4.11754
75,2.672;2.97604;3.67554;3.8055;3.85954
76,2.0055;2.34304;3.06504
77,2.51004;2.534;2.67404
78,1.94004;2.09504;3.57004
79,1.53104;1.76504
80,2.71205;2.98904;3.619;4.40803
81,3.04504;3.50254;3.503;4.2835
82,2.01603;2.5385;3.36804
83,2.95004;3.71054;3.79253;3.864;4.15354
84,3.08304;3.48304;4.317;4.36904;4.43404
85,3.24354;3.716;4.02603;4.05304
86,3.00354;3.0665;3.16304
87,2.832;3.38454;3.59554
88,2.02404;2.319;2.51254
89,2.18704;2.24204;2.30854
90,2.23454;2.54804;2.69404;2.96804
91,1.80304;3.0115;4.40654
92,2.17704;2.9185;3.045;3.20404;4.04504
93,1.887;2.30403;2.45504;2.515
94,2.23204;2.562;2.75004;3.91103
95,1.92154;2.29604;2.46654;2.78754
96,1.92304;2.09804;2.90754
97,1.866
98,2.51304;2.72454;2.8795;2.90704
99,2.33604;2.54004;2.63704;3.90604
100,2.61104;2.88204;3.25304;4.61003
