round,count
1,6356
2,6858
3,6550
4,7543
5,4470
6,8757
7,8616
8,5400
9,8027
10,5037
11,5855
12,6181
13,5667
14,7037
15,8252
16,3973
17,4216
18,6147
19,6055
20,7643
21,5003
22,6646
23,8100
24,4443
25,8239
26,4151
27,4839
28,7787
29,7741
30,5306
31,2707
32,4484
33,5809
34,9895
35,5743
36,4670
37,7290
38,7207
39,4794
40,4177
41,7125
42,3753
43,6277
44,5157
45,4371
46,5438
47,2975
48,6769
49,5838
50,5703
51,3749
52,5759
53,5878
54,3703
55,3150
56,4771
57,4593
58,5988
59,7427
60,6992
61,6721
62,4168
63,4108
64,7204
65,3532
66,7268
67,8002
68,5166
69,7599
70,6828
71,3520
72,3635
73,8230
74,4446
75,5531
76,3135
77,4804
78,6485
79,5193
80,5169
81,4445
82,3850
83,7180
84,3207
85,5741
86,3554
87,5943
88,5049
89,5233
90,4245
91,4875
92,3374
93,6403
94,7763
95,4163
96,5049
97,5197
98,5801
99,3525
100,2949
