round,success_count
1,3
2,4
3,1
4,3
5,2
6,3
7,3
8,4
9,5
10,3
11,4
12,3
13,4
14,3
15,3
16,5
17,3
18,4
19,2
20,3
21,4
22,5
23,4
24,5
25,4
26,2
27,2
28,3
29,3
30,5
31,3
32,3
33,3
34,2
35,5
36,3
37,2
38,3
39,3
40,2
41,3
42,4
43,4
44,2
45,4
46,3
47,5
48,4
49,3
50,5
51,4
52,4
53,3
54,4
55,5
56,3
57,5
58,3
59,3
60,2
61,3
62,4
63,3
64,5
65,5
66,3
67,4
68,3
69,5
70,2
71,4
72,3
73,2
74,4
75,4
76,3
77,5
78,4
79,3
80,4
81,4
82,5
83,4
84,4
85,3
86,4
87,3
88,4
89,4
90,3
91,3
92,3
93,4
94,2
95,4
96,2
97,4
98,2
99,4
100,3
