round,ids
1,127;75;72
2,143;89;27;52
3,130
4,71;27;64
5,6;104
6,26;25;133
7,76;112;137
8,44;4;34;137
9,136;84;18;56;81
10,141;127;76
11,146;45;66;55
12,51;76;47
13,103;98;122;144
14,7;116;42
15,118;46;36
16,127;143;9;75;50
17,44;84;9
18,9;71;26;93
19,129;134
20,4;104;144
21,128;105;10;70
22,136;76;78;98;110
23,144;9;51;148
24,70;116;66;91;90
25,131;149;25;134
26,52;68
27,68;33
28,125;60;100
29,64;23;78
30,130;109;76;51;121
31,143;76;34
32,56;75;46
33,98;52;42
34,135;63
35,112;84;104;134;49
36,136;112;128
37,27;31
38,128;127;146
39,118;9;137
40,91;128
41,121;31;25
42,136;23;55;60
43,51;33;105;108
44,107;147
45,109;110;107;149
46,130;149;142
47,12;72;50;133;13
48,42;18;117;25
49,101;76;93
50,91;45;34;104;27
51,34;51;87;61
52,27;107;51;55
53,84;103;124
54,12;127;150;68
55,3;56;81;101;12
56,50;128;55
57,9;84;141;118;137
58,148;27;115
59,111;128;6
60,139;20
61,134;31;7
62,96;118;46;111
63,98;146;143
64,4;83;72;118;75
65,136;78;121;70;101
66,33;131;128
67,70;34;143;115
68,31;51;123
69,6;83;130;4;20
70,128;104
71,72;31;46;114
72,112;129;123
73,136;20
74,76;112;3;68
75,16;125;94;78
76,108;109;56
77,94;104;45;9;50
78,131;139;105;101
79,31;96;91
80,51;50;147;108
81,129;26;49;93
82,148;136;18;96;139
83,131;7;144;60
84,7;150;31;100
85,112;55;50
86,94;129;110;61
87,143;78;46
88,146;10;93;100
89,91;125;68;150
90,136;127;122
91,42;31;147
92,76;104;139
93,62;148;49;13
94,81;104
95,143;76;70;139
96,84;25
97,31;25;144;133
98,45;26
99,94;134;12;20
100,127;135;93
