round,ndi0_count,ndi1_count
1,86,6406
2,219,9319
3,197,5787
4,3,7866
5,8,7742
6,336,4405
7,435,5597
8,39,7428
9,1,7696
10,159,2472
11,17,6500
12,66,7030
13,1,3766
14,286,5398
15,449,7066
16,233,4618
17,192,6944
18,185,4857
19,173,7929
20,88,4989
21,146,5818
22,232,4962
23,184,7889
24,232,5327
25,167,6543
26,255,3744
27,232,6568
28,2,3849
29,9,6311
30,179,6220
31,204,4722
32,214,4404
33,114,5454
34,104,6518
35,3,7122
36,259,4707
37,175,4704
38,121,6843
39,96,5146
40,25,6495
41,276,5565
42,183,5530
43,18,7575
44,21,5427
45,5,8227
46,0,6660
47,195,4043
48,292,6231
49,7,6044
50,57,5781
51,163,4259
52,14,4155
53,225,6590
54,47,4853
55,141,4948
56,201,5737
57,192,5161
58,29,7591
59,153,3365
60,41,4116
61,7,5237
62,76,7769
63,88,4322
64,156,7005
65,0,4983
66,162,4911
67,4,5675
68,52,4958
69,0,8268
70,2,6460
71,92,8255
72,142,4512
73,48,6772
74,2,7007
75,253,4174
76,3,7887
77,0,2890
78,151,7567
79,38,4874
80,336,6677
81,24,4823
82,450,4894
83,0,3831
84,34,7520
85,145,6050
86,30,7650
87,2,5397
88,381,6575
89,49,5126
90,164,3499
91,19,8127
92,100,4829
93,2,7437
94,54,4954
95,0,4771
96,26,4923
97,45,4943
98,32,2683
99,127,7901
100,15,5447
