round,total_numsym
1,53381
2,93462
3,101728
4,52478
5,63130
6,50787
7,105166
8,58156
9,80041
10,75020
11,72048
12,85360
13,112621
14,90515
15,38413
16,52765
17,70300
18,72957
19,73650
20,42534
21,67834
22,84638
23,59928
24,74581
25,63341
26,22312
27,61592
28,43574
29,79946
30,56320
31,52466
32,74220
33,62974
34,48654
35,51124
36,53797
37,43544
38,89597
39,56176
40,107344
41,72001
42,65320
43,54885
44,71789
45,27386
46,45004
47,69039
48,84531
49,63236
50,43369
51,38764
52,36186
53,67085
54,41674
55,48614
56,57064
57,48011
58,72259
59,50763
60,55298
61,43494
62,41933
63,77501
64,66368
65,58792
66,74003
67,27149
68,90194
69,37396
70,71201
71,37768
72,57985
73,17221
74,24686
75,51995
76,73795
77,44674
78,28648
79,50234
80,32668
81,55188
82,65309
83,41902
84,21330
85,36739
86,48970
87,21837
88,50026
89,62595
90,49925
91,57313
92,66479
93,26344
94,42203
95,45065
96,56045
97,13659
98,45375
99,52572
100,45253
