round,total_ul_rbg
1,16583
2,51048
3,46754
4,15806
5,29245
6,11573
7,60350
8,22082
9,33026
10,43712
11,34882
12,62405
13,48693
14,59744
15,30095
16,40154
17,48434
18,48278
19,39980
20,36858
21,52544
22,41474
23,48185
24,50407
25,50305
26,17535
27,46324
28,29323
29,50057
30,35361
31,43719
32,54845
33,46433
34,35880
35,29184
36,43878
37,34139
38,60867
39,50646
40,56565
41,51143
42,39403
43,46281
44,43381
45,23875
46,39175
47,48297
48,58109
49,47141
50,43385
51,37534
52,30580
53,49578
54,36873
55,35715
56,43481
57,40287
58,49204
59,37497
60,39412
61,37034
62,35402
63,65174
64,51884
65,44680
66,56312
67,32411
68,55040
69,32994
70,54807
71,36546
72,46442
73,25756
74,19646
75,36638
76,58737
77,35958
78,32619
79,48230
80,33011
81,41215
82,55420
83,32783
84,20506
85,36318
86,31172
87,29733
88,38166
89,50278
90,42803
91,36809
92,50705
93,28816
94,42630
95,44828
96,52290
97,15620
98,44634
99,35826
100,44456
