round,total_tbSize
1,1558268
2,4765019
3,4325199
4,1519659
5,2638870
6,1144062
7,5760214
8,2102552
9,3075192
10,4102022
11,3484665
12,6100510
13,4559469
14,5590640
15,2979564
16,3880405
17,4580550
18,4633733
19,3762113
20,3365224
21,4894755
22,3824886
23,4593165
24,4841579
25,5104568
26,1699036
27,4358908
28,2938914
29,4715840
30,3535415
31,4395840
32,5227287
33,4413617
34,3450403
35,2653857
36,4388553
37,3335656
38,5564637
39,4944597
40,5339207
41,4819841
42,4400089
43,4245699
44,4184630
45,2281719
46,3751566
47,4491486
48,5855645
49,4869038
50,3960850
51,3604447
52,2742071
53,4977761
54,3563948
55,3406150
56,4215594
57,3895324
58,4472801
59,3333779
60,3648570
61,3295859
62,3354022
63,5975471
64,4797072
65,4017016
66,5168529
67,3060813
68,4876194
69,3067630
70,4877872
71,3292909
72,4655092
73,2313130
74,1772744
75,3296986
76,5392495
77,3601737
78,3306576
79,4342484
80,3046674
81,3895565
82,5168614
83,2923718
84,1843295
85,3278413
86,3015604
87,2747196
88,3429863
89,4384325
90,3887262
91,3275848
92,4721300
93,2838770
94,4000510
95,4132110
96,5007919
97,1477395
98,4404246
99,3190685
100,4033341
