round,ids
1,7;62;42;143
2,131;8;27;135
3,61;51
5,83;27;9
6,9;130;116;51;44
7,51;130;33;144;12
8,87;51;141
9,83;42;116;44
10,83;141;144;137;148
11,72;27;71;4;148
12,137;27;143;134;131;116
13,26;116;9;47;83
14,131;12;51;4;61
15,134;51;144;130;135
16,116;144;83;131;58
17,83;149;87;68;44;135
18,68;135;141;134;33;27
19,141;116;44;4;26;62
20,130;44;68;9;7
21,7;149;94;33;137;58
22,134;94;44;27;9;131
23,65;9;143;42;12;58
24,130;131;44;26;62
25,130;131;141
26,131;144;33;71;141;135
27,141;33;44;130;107;135
28,83;44;4;116;68
29,149;7;44;33;26
30,137;143;12;26
31,68;83;51;42;58;39
32,97;81;144;71;4
33,81;44;137
34,26;72;94;50;9
35,65;144;83;148
36,72;44;12;130;71;33
37,12;69;135;47
38,71;149;72;107
39,72;9;144;130;135
40,102;143;94
41,144;143;72;130;12;62
42,143;4;139;107;51;112
43,4;143;131;83
44,131;12;42;27;72;51
45,26;107;89;71;148
46,83;94;125;68;26
47,83;62;137
48,50;58;139;48
49,131;143;83;51;148
50,116;51;33;137;87
51,9;116;87;134;44
52,131;9;94;83;87
53,27;26;107;12;71
54,27;102;130;39
55,134;135;26
56,149;26;27;72;130
57,68;26;116;87;148
58,7;131;81;134
59,116;134;81;72
60,112;94;9
61,131;144;27;148;65
62,83;134;135;94;39;7
63,9;7;72;135
64,27;26;94;130;44;33
65,131;27;139
66,149;44;83;68;51;50
67,72;107;68;149;33;62
68,130;143;58
69,130;148;143;68;72;51
70,143;130;148;134;94
71,131;130;42;26
72,4;68;134;12
73,39;138;130;65;107;58
74,65;58;149;131;62
75,71;87;130;134;44
76,134;130;9;143;33
77,33;87;72;44;4
78,42;131;27;122;102;58
79,50;42;94;89;102
80,135;27;87
81,94;143;139;111
82,71;87;72;51
83,72;9;107;33;42;58
84,148;33;94;50
85,144;9;27;4;62
86,33;4;62;94;39;12
87,71;68;83;116;72
88,102;83;12;139;148
89,134;12;44;144;148
90,58;94;27;135
91,4;87;12;26;62
92,144;26;12;116;148
93,116;130;81;83
94,71;83;4;51;26
95,134;135;148;131;130
96,51;148;135;42;27;12
97,42;135;107;4;143
98,125;27;14
99,27;148;130;4;71
100,7;83;68;149;144
