node_id,ue_idx,rnti,distance_m
0,1,1,135.888451
1,2,2,95.631763
2,3,3,65.281664
3,4,310,65.552778
4,5,311,82.594237
5,6,312,52.551046
6,7,313,57.990628
7,8,606,76.189789
8,9,607,91.708329
9,10,608,91.313681
10,11,889,143.170194
11,12,890,62.373919
12,13,1023,87.828844
13,14,1024,132.480815
14,15,1025,152.313292
15,16,1284,164.157840
16,17,1285,109.576820
17,18,1286,62.475041
18,19,1287,102.192692
19,20,1411,68.598140
20,21,1412,146.749319
21,22,1413,154.734821
22,23,1532,100.217659
23,24,1533,151.751461
24,25,1534,118.066786
25,26,1650,59.847122
26,27,1651,79.651636
27,28,1652,155.764513
28,29,748,167.167628
29,30,749,136.616044
30,31,750,123.889882
31,32,1877,121.916306
32,33,1878,58.189894
33,34,1879,53.222114
34,35,2092,122.750406
35,36,2093,131.287301
36,37,2094,146.176177
37,38,2095,161.354544
38,39,2195,112.301922
39,40,2196,133.989226
40,41,2197,149.517837
41,42,2198,53.708846
42,43,2389,138.965610
43,44,2390,54.106100
44,45,2294,70.508742
45,46,2295,60.044137
46,47,2296,104.790215
47,48,2391,145.064558
48,49,2392,79.238545
49,50,2569,84.622367
50,51,2570,61.576316
51,52,2571,91.877209
52,53,1765,165.617351
53,54,1766,130.517150
54,55,1767,109.368807
55,56,2654,82.541853
56,57,2655,119.272592
57,58,2656,103.043187
58,59,460,166.455175
59,60,461,72.742436
60,61,462,87.627912
61,62,463,73.174157
62,63,2815,99.665920
63,64,2816,108.520970
64,65,2817,102.699794
65,66,2891,65.082055
66,67,2892,144.178093
67,68,2893,82.416770
68,69,2964,133.035351
69,70,2965,57.333403
70,71,2966,64.277221
71,72,3101,57.055559
72,73,3102,150.171717
73,74,3103,150.370460
74,75,3165,83.343877
75,76,3166,71.216293
76,77,3167,134.364505
77,78,3168,123.555134
78,79,3226,124.498461
79,80,3227,85.080174
80,81,3228,63.704907
81,82,3229,134.155995
82,83,3336,60.729505
83,84,3337,97.697383
84,85,3338,118.375173
85,86,3386,155.898085
86,87,3387,71.216608
87,88,3388,134.567888
88,89,3433,116.026071
89,90,3434,101.532088
90,91,3435,77.773738
91,92,3477,96.201181
92,93,3478,96.731159
93,94,3479,87.268672
94,95,3518,129.640277
95,96,3519,60.134626
96,97,1986,128.474602
97,98,1987,142.367194
98,99,1988,146.926718
99,100,3520,72.760372
100,101,3591,70.516390
101,102,3034,122.936838
102,103,157,136.593115
103,104,158,104.519549
104,105,159,147.229617
105,106,3035,143.535815
106,107,3036,96.771818
107,108,3592,111.399458
108,109,3593,110.670030
109,110,3622,89.599931
110,111,3623,71.015837
111,112,3624,86.733384
112,113,3625,116.520836
113,114,3650,114.556104
114,115,3651,91.324549
115,116,3652,58.082865
116,117,3653,116.593233
117,118,3674,135.768762
118,119,3675,166.211513
119,120,3676,142.306433
120,121,3694,73.909212
121,122,3556,79.692319
122,123,3557,122.123014
123,124,3558,85.594167
124,125,3283,75.036879
125,126,3284,149.873214
126,127,3285,101.996922
127,128,3559,56.013340
128,129,3695,94.782974
129,130,3696,62.150084
130,131,3697,56.698918
131,132,3711,122.751956
132,133,2481,116.404584
133,134,2482,55.125306
134,135,2483,82.059024
135,136,3712,138.575571
136,137,3713,73.669578
137,138,3724,114.253611
138,139,3725,61.258666
139,140,3726,146.209041
140,141,3727,95.774411
141,142,2736,133.165626
142,143,2737,62.920412
143,144,2738,75.592925
144,145,3734,85.221672
145,146,3735,123.011626
146,147,1155,69.051402
147,148,1156,71.419449
148,149,1157,68.998818
149,150,3736,87.314218
