round,total_ul_rbg
1,60987
2,60367
3,61403
4,59677
5,60848
6,52696
7,49103
8,40682
9,37950
10,37721
11,36782
12,29259
13,37296
14,37809
15,37748
16,36998
17,30030
18,33167
19,32207
20,37012
21,31979
22,29193
23,35630
24,37261
25,41667
26,35118
27,37331
28,37049
29,35880
30,35672
31,26758
32,39762
33,36715
34,36729
35,39188
36,32370
37,35993
38,37236
39,37966
40,35611
41,33495
42,35485
43,35973
44,31266
45,37547
46,39241
47,38748
48,38101
49,36178
50,38501
51,37399
52,36859
53,35904
54,37476
55,36217
56,36307
57,37907
58,36428
59,35512
60,38275
61,36875
62,33404
63,38134
64,28586
65,36534
66,28021
67,35060
68,37559
69,31133
70,36930
71,36829
72,36941
73,31765
74,38888
75,36000
76,36324
77,37057
78,35862
79,36624
80,36215
81,36741
82,35301
83,36210
84,37370
85,37096
86,30773
87,36303
88,38684
89,37419
90,36913
91,39374
92,37178
93,37557
94,37605
95,37812
96,31484
97,37453
98,39374
99,38663
100,36514
