round,total_ul_rbg
1,31888
2,21044
3,27829
4,46504
5,41169
6,56165
7,34011
8,37314
9,51370
10,29511
11,34940
12,60027
13,40462
14,27349
15,43753
16,42294
17,44015
18,26213
19,45471
20,51775
21,31710
22,40297
23,35182
24,39384
25,43589
26,43688
27,40001
28,53400
29,30532
30,38782
31,49723
32,48924
33,32760
34,38310
35,54379
36,43151
37,39918
38,38860
39,25715
40,16385
41,46199
42,50091
43,37486
44,28452
45,51786
46,40791
47,40792
48,40609
49,43577
50,45799
51,47300
52,37426
53,35635
54,57868
55,37689
56,41523
57,31113
58,39782
59,64877
60,28430
61,35971
62,33106
63,30106
64,16015
65,32369
66,34012
67,47012
68,50677
69,38683
70,29878
71,13661
72,19093
73,40742
74,42922
75,27161
76,51862
77,56222
78,29276
79,46756
80,26380
81,15307
82,34924
83,35227
84,29646
85,31224
86,57890
87,23344
88,44258
89,60840
90,41305
91,29207
92,44707
93,41234
94,51441
95,53769
96,36841
97,58156
98,11468
99,20377
100,49515
