round,success_count
1,2
2,4
3,4
4,6
5,6
6,5
7,5
8,4
9,2
10,5
11,6
12,5
13,5
14,6
15,5
16,4
17,6
18,5
19,5
20,5
21,4
22,5
23,4
24,4
25,6
26,6
27,4
28,5
29,5
30,5
31,5
32,5
33,4
34,5
35,4
36,5
37,5
38,6
39,5
40,6
41,5
42,5
43,5
44,6
45,5
46,5
47,2
48,3
49,5
50,5
51,6
52,5
53,6
54,5
55,5
56,5
57,4
58,4
59,6
60,6
61,5
62,3
63,5
64,4
65,5
66,5
67,4
68,5
69,2
70,5
71,5
72,6
73,5
74,4
75,6
76,4
77,6
78,5
79,6
80,6
81,3
82,4
83,5
84,4
85,3
86,3
87,6
88,5
89,4
90,6
91,6
92,6
93,6
94,5
95,3
96,6
97,5
98,5
99,4
100,5
