round,avg_ul_mcs
1,27.7889
2,27.8511
3,27.7905
4,27.8438
5,27.8726
6,27.8078
7,27.706
8,27.7371
9,27.4217
10,27.6992
11,27.9117
12,27.7325
13,27.8029
14,27.893
15,27.8335
16,27.55
17,27.8286
18,27.6159
19,27.6965
20,27.8453
21,27.7991
22,27.7303
23,27.7784
24,27.7685
25,27.8744
26,27.7536
27,27.8568
28,27.8399
29,27.8116
30,27.8614
31,27.8624
32,27.7916
33,27.5473
34,27.8338
35,27.782
36,27.8073
37,27.8183
38,27.8687
39,27.7733
40,27.873
41,27.8001
42,27.8084
43,27.8202
44,27.8582
45,27.842
46,27.8291
47,26.6735
48,27.6726
49,27.8718
50,27.8062
51,27.8394
52,27.6269
53,27.8678
54,27.7912
55,27.7654
56,27.8192
57,27.7957
58,27.2712
59,27.8751
60,27.8583
61,27.841
62,27.4246
63,27.7867
64,27.7663
65,27.7374
66,27.8251
67,27.8522
68,27.7284
69,27.5935
70,27.8109
71,27.8807
72,27.8848
73,27.8747
74,27.78
75,27.879
76,27.7918
77,27.7828
78,27.7856
79,27.8186
80,27.8908
81,27.7156
82,26.9182
83,27.8388
84,27.7687
85,27.7524
86,27.6457
87,27.8532
88,27.8107
89,27.7444
90,27.8178
91,27.8662
92,27.8787
93,27.8275
94,27.8367
95,27.5649
96,27.8231
97,27.8622
98,27.8201
99,27.6766
100,27.8039
