round,ndi0_count,ndi1_count
1,587,5158
2,433,5570
3,326,4246
4,290,7019
5,275,5260
6,498,9452
7,476,4934
8,509,4526
9,343,5338
10,178,7856
11,408,5923
12,180,1926
13,462,5766
14,363,5106
15,399,5611
16,310,3936
17,235,3350
18,210,3315
19,437,6468
20,277,5474
21,363,6058
22,361,4584
23,484,4491
24,518,3906
25,298,4331
26,102,4368
27,186,1947
28,343,3750
29,414,7039
30,261,3366
31,177,6975
32,512,5472
33,323,6677
34,382,4230
35,189,2336
36,267,4304
37,177,2069
38,263,3239
39,98,2167
40,357,7351
41,215,1851
42,235,6692
43,225,5295
44,404,5434
45,84,4509
46,84,3863
47,298,5731
48,80,1690
49,371,4045
50,294,4338
51,63,7716
52,273,6904
53,444,4708
54,275,5011
55,520,5862
56,93,1939
57,243,3031
58,301,2838
59,96,4604
60,292,5441
61,112,5133
62,48,4080
63,231,3820
64,182,3324
65,138,3641
66,289,5712
67,527,3031
68,288,5946
69,457,3731
70,183,4887
71,304,3575
72,341,4719
73,240,4342
74,237,2018
75,220,3891
76,289,2929
77,0,1727
78,180,4787
79,385,3162
80,104,4142
81,393,3998
82,466,3758
83,189,3474
84,440,4524
85,478,4870
86,407,4818
87,205,4140
88,34,5369
89,327,5197
90,108,4631
91,41,4867
92,234,4383
93,390,5255
94,33,2804
95,195,1950
96,78,4467
97,210,1882
98,112,3724
99,395,3091
100,227,4287
