round,total_ul_rbg
1,47806
2,39986
3,39419
4,39499
5,38510
6,39392
7,40341
8,40064
9,39837
10,39758
11,40450
12,37844
13,40422
14,39049
15,39642
16,38932
17,39528
18,39614
19,40591
20,39773
21,39751
22,39446
23,38987
24,31518
25,30876
26,30190
27,29926
28,30401
29,30745
30,30455
31,28709
32,23095
33,23102
34,22076
35,22747
36,21689
37,21702
38,22050
39,21555
40,22473
41,20871
42,21332
43,22366
44,22588
45,21530
46,21101
47,22591
48,21766
49,21739
50,22666
51,18220
52,21730
53,22401
54,22626
55,21640
56,22221
57,21273
58,22528
59,21524
60,19228
61,21355
62,21424
63,22301
64,21743
65,21210
66,21533
67,23327
68,22003
69,22600
70,22064
71,22510
72,22764
73,21504
74,21639
75,21287
76,21393
77,21438
78,22543
79,22796
80,21840
81,22526
82,22808
83,22016
84,22963
85,23998
86,23411
87,22126
88,20980
89,21732
90,21988
91,14552
92,21691
93,23516
94,21134
95,21214
96,22143
97,20739
98,21116
99,22191
100,22121
